Predicate; Input; Output
IsPositive; [0.016095775894266362, 0.3988521627292214, -0.6300563723151991, -0.024849575738014718, 0.5909310543451909, -0.6535455985919192, -0.20923070256524068, -0.2514151299908973, -0.44270393338804426, 0.8292286476079354]; [0.016095775894266362, 0.3988521627292214, 0.5909310543451909, 0.8292286476079354]
IsNotNaN; [0.6419695723744745, -0.558930422035081, NaN, -0.0846379632866161, -0.13920069369889299, -0.5197785612814751, 0.8727479212919189, 0.15182440745187464, NaN, -0.8120822722050387]; [0.6419695723744745, -0.558930422035081, -0.0846379632866161, -0.13920069369889299, -0.5197785612814751, 0.8727479212919189, 0.15182440745187464, -0.8120822722050387]
IsNotNaN; [0.5844848754317626, NaN, -0.4694047268824306, 0.8491470744351175, NaN, -0.9230215111946891, -0.07103638784303534, -0.8521717785365948, 0.6845581128683937, NaN]; [0.5844848754317626, -0.4694047268824306, 0.8491470744351175, -0.9230215111946891, -0.07103638784303534, -0.8521717785365948, 0.6845581128683937]
IsNotNaN; [NaN, 0.9093557621892636, 0.017711105093696444, 0.20290501608619294, 0.3300692079658185, 0.08377070371948858, -0.267796517278323, 0.7442310225430471, 0.503442511364532, NaN]; [0.9093557621892636, 0.017711105093696444, 0.20290501608619294, 0.3300692079658185, 0.08377070371948858, -0.267796517278323, 0.7442310225430471, 0.503442511364532]
DivisibleByTwo; [-0.013133761181381542, -0.6229997887163188, 0.08446171815468206, -0.7784814935670417, 0.09994657796745554, 0.48458705119745926, 0.7035779842357017, -0.617266263748329, -0.5467863974710561, -0.3299353499123734]; []
IsNotNaN; [-0.48471786666666516, 0.3949219320354833, NaN, 0.12003360767833215, NaN, NaN, -0.810477789235488, NaN, -0.4220608644763535, 0.36854968270552346]; [-0.48471786666666516, 0.3949219320354833, 0.12003360767833215, -0.810477789235488, -0.4220608644763535, 0.36854968270552346]
DivisibleByTwo; [-0.0619230141789624, -0.8381767694998845, -0.29158913301213896, 0.44484371183048177, 0.23299972634525412, 0.9615634437975782, -0.1959270464447731, -0.49823927506582866, -0.7637419263583409, -0.973387098574251]; []
DivisibleByTwo; [-0.5787029808223876, 0.7334869540899274, 0.3348413892507156, 0.8486807076948457, 0.4687860625185125, -0.581730278974915, 0.6533625864222501, 0.7447561413845316, 0.37887983955040916, -0.6774848391006973]; []
DivisibleByTwo; [-0.15015796679238114, -0.5040172728886436, -0.4172971069531024, 0.8452676466137725, -0.9725020713219361, -0.8552088080542246, -0.2559497246427036, -0.8017032701510076, 0.5426344789321029, -0.10897435084876239]; []
IsPositive; [-0.1895788591173848, -0.713839050723232, -0.7515173686807677, -0.19681177795108584, 0.35562719201486837, -0.3677448520151114, -0.7128839790992312, 0.14881905734141876, 0.9169171554223654, 0.6909913888565995]; [0.35562719201486837, 0.14881905734141876, 0.9169171554223654, 0.6909913888565995]
DivisibleByTwo; [-0.07367161929149235, -0.45158241673067545, 0.0705755280891085, -0.8070975405721761, -0.8643738971179282, 0.8702030830038512, -0.15653207680841064, -0.21140147123490394, 0.6052538481159333, -0.19159793177830853]; []
DivisibleByTwo; [0.7240226934064828, 0.18914710900406284, 0.734437420642833, -0.5743587691718448, -0.9853477409461651, 0.2445886133151849, 0.7497937538034039, 0.5904153294906249, 0.5586352009752553, 0.9589387383717223]; []
IsNotNaN; [NaN, 0.20349000687608498, -0.022006472610980765, 0.3091710105821819, -0.7704354489375955, -0.6175108694317029, 0.47491794808308385, 0.9173123695669527, 0.96736189079522, NaN]; [0.20349000687608498, -0.022006472610980765, 0.3091710105821819, -0.7704354489375955, -0.6175108694317029, 0.47491794808308385, 0.9173123695669527, 0.96736189079522]
DivisibleByTwo; [-0.0221937174703839, 0.11892576212963024, -0.4707495226377265, -0.23460816049145072, 0.9539991654339894, -0.22210537303944466, -0.5172547387727333, -0.8772248930981317, -0.43519005954988543, -0.683436089160991]; []
DivisibleByTwo; [0.4103712834264772, -0.9757592377285693, -0.995536863233629, 0.8619340898221597, -0.6088529625370851, -0.8512433358778662, -0.156928888960441, 0.15274380545166055, 0.2513949850628856, 0.5488108605780677]; []
DivisibleByTwo; [0.984793007460582, 0.9089189182209569, 0.021219398083470065, -0.9608778932938549, 0.4558378370629643, -0.26599466381567716, -0.20724220206827515, -0.6883981000931358, -0.34701321704445776, -0.6971563492549813]; []
IsNotNaN; [-0.25142259726487537, 0.48683366814373064, NaN, NaN, 0.5133537805133328, NaN, 0.29490846295387185, NaN, NaN, 0.1338951350079991]; [-0.25142259726487537, 0.48683366814373064, 0.5133537805133328, 0.29490846295387185, 0.1338951350079991]
IsNotNaN; [NaN, -0.8397257294412548, 0.365056717988421, -0.41931299491423824, NaN, 0.9696694967701163, NaN, 0.664715011003155, -0.6308965593826961, 0.5560829541706347]; [-0.8397257294412548, 0.365056717988421, -0.41931299491423824, 0.9696694967701163, 0.664715011003155, -0.6308965593826961, 0.5560829541706347]
IsNotNaN; [-0.9081634512244487, 0.6180851949421737, 0.9164766027536826, NaN, 0.4153609949019308, 0.1764466035847445, NaN, -0.057728432112408745, -0.13996643320689173, 0.0813589374157655]; [-0.9081634512244487, 0.6180851949421737, 0.9164766027536826, 0.4153609949019308, 0.1764466035847445, -0.057728432112408745, -0.13996643320689173, 0.0813589374157655]
DivisibleByTwo; [0.8958871342785912, 0.358548837099411, 0.8185314394375027, -0.6346313975729383, 0.1915922573278579, 0.022313960875260275, 0.42635140478945077, -0.016423593657012958, -0.7185964263259939, 0.9684445817203555]; []
IsPositive; [-0.6119690018846733, 0.568367819114397, 0.851415779003424, 0.09915303976478262, -0.4298665823834851, 0.6093698200076949, 0.2886006642240233, 0.15040120730816375, -0.6284445782731598, -0.8014125959888854]; [0.568367819114397, 0.851415779003424, 0.09915303976478262, 0.6093698200076949, 0.2886006642240233, 0.15040120730816375]
DivisibleByTwo; [-0.6552629074602783, 0.9397122014238188, -0.9835173487733138, -0.36893583361398563, 0.7719687614215085, 0.003105752876314316, -0.13741783105163696, 0.6143019861698211, -0.6990990598957496, 0.09802527887778667]; []
IsNotNaN; [-0.42321008803991655, 0.6150649257079805, -0.25183742874389803, 0.7307652174520196, 0.6033122392101353, NaN, -0.7311250555632058, -0.1389535146438774, 0.7332310904775539, NaN]; [-0.42321008803991655, 0.6150649257079805, -0.25183742874389803, 0.7307652174520196, 0.6033122392101353, -0.7311250555632058, -0.1389535146438774, 0.7332310904775539]
DivisibleByTwo; [-0.18951472890877596, 0.24303096681329994, -0.21763631207333156, -0.9806803837342903, 0.6779375218952801, 0.481204143667777, -0.6062031607037972, -0.21135150372793565, -0.21382982482359636, -0.18880283952810495]; []
IsNotNaN; [-0.1962215931479161, 0.6171456500591908, NaN, NaN, 0.044417024881463485, -0.1161924329931856, NaN, 0.1947359840031344, 0.5039045346350874, NaN]; [-0.1962215931479161, 0.6171456500591908, 0.044417024881463485, -0.1161924329931856, 0.1947359840031344, 0.5039045346350874]
IsPositive; [-0.20376284673937928, -0.6549646471179495, -0.9752576769043695, 0.1220125226588904, -0.0880122303769697, -0.8477672227023023, -0.2072819676106299, 0.02085691215483254, -0.4937444458678508, -0.19042862156180762]; [0.1220125226588904, 0.02085691215483254]
IsPositive; [0.15414548326498823, -0.9706800355639427, 0.7321952703590522, -0.24921754197160628, 0.1961445227553793, 0.299214364893748, -0.013083442999886286, 0.6702778903732762, -0.5654947891892499, 0.44712781589423156]; [0.15414548326498823, 0.7321952703590522, 0.1961445227553793, 0.299214364893748, 0.6702778903732762, 0.44712781589423156]
IsPositive; [-0.5549365167574949, -0.612089087947826, 0.2759450911820269, -0.6551220276560683, 0.49682264328255754, -0.9843585954861416, -0.9436659238811553, -0.13587534093063547, -0.9859950430090272, -0.0599169668374242]; [0.2759450911820269, 0.49682264328255754]
DivisibleByTwo; [0.40372775885188505, 0.23462367230345338, -0.02863871996505707, 0.5040497880119041, -0.5651856318307562, 0.4509976814272374, -0.6336912509885011, -0.04813985486034733, 0.8656477746354736, -0.74920939572269]; []
IsPositive; [0.6087590845751907, 0.1972979071774985, 0.5023031962917424, -0.41303793842687453, 0.5937570933652112, 0.27976933787877645, 0.7743585696086399, 0.23086916642595878, -0.47684804646801804, -0.006663579177819345]; [0.6087590845751907, 0.1972979071774985, 0.5023031962917424, 0.5937570933652112, 0.27976933787877645, 0.7743585696086399, 0.23086916642595878]
IsPositive; [-0.01612988218104694, -0.8328260563395378, 0.20854018799329688, -0.895052504751148, 0.7647761787919285, 0.7800045808919884, -0.9337651281913009, -0.17767370812751593, 0.8824291165440639, -0.5199099778444423]; [0.20854018799329688, 0.7647761787919285, 0.7800045808919884, 0.8824291165440639]
DivisibleByTwo; [0.3060310918872977, 0.7286217865021087, 0.9502200316283844, -0.6145221097986546, 0.9190529786387476, 0.2700612994406122, 0.9000283438645771, 0.9438356037754374, 0.9859838628255198, -0.9355099603640613]; []
DivisibleByTwo; [0.11549164925998712, 0.97222685132792, -0.44450330274619865, 0.7928214966408549, -0.9781409548117772, 0.49064400434308375, 0.883716524027178, -0.7579374549884677, 0.6234548504737354, 0.9384696186933867]; []
IsPositive; [-0.8209361386536147, 0.18771940460036207, 0.989547098383428, -0.11157006286130855, 0.1628424224797418, -0.7649712178644172, 0.011679078883385152, 0.2104933101620734, 0.7344504378542807, 0.4826024094935193]; [0.18771940460036207, 0.989547098383428, 0.1628424224797418, 0.011679078883385152, 0.2104933101620734, 0.7344504378542807, 0.4826024094935193]
DivisibleByTwo; [-0.10971086180650236, -0.2114409796656822, -0.17888865622631478, -0.07128945659599428, 0.7557088720725751, 0.3556700343783703, 0.09553315177719379, -0.09042713007352088, 0.5883957546237331, -0.21112386540365424]; []
IsNotNaN; [-0.339075830282473, 0.5406649924174307, NaN, 0.29276311425638224, -0.9686938659061819, -0.8738108816209704, NaN, -0.698945077644084, -0.2239176607407658, 0.8084991753708906]; [-0.339075830282473, 0.5406649924174307, 0.29276311425638224, -0.9686938659061819, -0.8738108816209704, -0.698945077644084, -0.2239176607407658, 0.8084991753708906]
DivisibleByTwo; [0.9617369731679244, 0.6385858912542421, -0.9486656826555573, -0.6515904654173923, -0.48187354643426183, 0.5113313535468373, 0.90633534764391, -0.14104073019226893, -0.701861759526379, 0.23007529389982206]; []
IsNotNaN; [0.7322855956391097, NaN, 0.07278341737617944, -0.7763165742062819, -0.48871139768371497, NaN, NaN, -0.13915677424748307, -0.3728950644075306, NaN]; [0.7322855956391097, 0.07278341737617944, -0.7763165742062819, -0.48871139768371497, -0.13915677424748307, -0.3728950644075306]
IsPositive; [-0.5441918134276749, -0.12548050828384927, -0.08476580005431833, -0.44360710045755525, -0.9557174322700015, 0.7712680009713189, 0.35839235063720776, -0.6888346579984128, 0.23385986817703364, -0.4920617798951523]; [0.7712680009713189, 0.35839235063720776, 0.23385986817703364]
IsNotNaN; [NaN, 0.5434480802189758, 0.7697537100342458, -0.06881211570394319, 0.9975476718974552, NaN, NaN, 6.220428856302807E-4, 0.41864798200621833, NaN]; [0.5434480802189758, 0.7697537100342458, -0.06881211570394319, 0.9975476718974552, 6.220428856302807E-4, 0.41864798200621833]
DivisibleByTwo; [0.7211060011748418, 0.654260349420011, 0.3312442217891467, 0.047768785865604624, -0.36404581442945894, 0.32542713933065115, -0.6822202139073461, -0.7600183037949235, -0.3838738927640786, -0.4169516772007651]; []
IsNotNaN; [-0.8832058105817095, 0.41625361698466445, -0.5410722879420373, -0.857268116061441, 0.026352490763176917, NaN, NaN, -0.416103315849915, NaN, -0.6325024700650352]; [-0.8832058105817095, 0.41625361698466445, -0.5410722879420373, -0.857268116061441, 0.026352490763176917, -0.416103315849915, -0.6325024700650352]
DivisibleByTwo; [0.6103619375601546, 0.5086071223673709, -0.5437733792478552, 0.5395755610141042, 0.9406896138902265, 0.5906612592557692, 0.6928313505475989, -0.07954801113527044, -0.7176301316337901, -0.011130528315136834]; []
DivisibleByTwo; [0.4298136513730595, 0.010592567749243997, -0.031606765192090824, 0.9363530547927725, -0.47484171912338113, -0.052279736263212584, 0.08690715876012112, 0.9680816500701732, -0.8348837356402932, 0.4451881131525208]; []
IsNotNaN; [0.12002133794575953, NaN, 0.9509900227873049, -0.05062900951837013, NaN, -0.5574388336581189, NaN, 0.0964597911101337, -0.31911853865960316, NaN]; [0.12002133794575953, 0.9509900227873049, -0.05062900951837013, -0.5574388336581189, 0.0964597911101337, -0.31911853865960316]
DivisibleByTwo; [0.13189504311968236, -0.9568183345201049, 0.7021575112752907, 0.08646046547542685, 0.7166030073372689, -0.9473890474696292, 0.9307557308341388, 0.8568228212392968, 0.18649641454293997, -0.1646239596075716]; []
IsNotNaN; [0.41190318176677754, 0.8799806502466707, 0.2894105354019787, NaN, -0.405940261754302, -0.9165321499962509, 0.21182859643393703, NaN, -0.17829774696621015, 0.08878194967026976]; [0.41190318176677754, 0.8799806502466707, 0.2894105354019787, -0.405940261754302, -0.9165321499962509, 0.21182859643393703, -0.17829774696621015, 0.08878194967026976]
IsPositive; [-0.5447154753091703, -0.48047622819963065, 0.08162793589394268, -0.01510975545882598, 0.10608565771462164, -0.41758391070500367, 0.4801329124558089, -0.11634764598490932, -0.08971804170487951, -0.3119677977355808]; [0.08162793589394268, 0.10608565771462164, 0.4801329124558089]
IsNotNaN; [0.5006869663256237, -0.5013263705698685, -0.20567666906260862, 0.13672797970315753, -0.5235074781657596, -0.610501921196344, 0.5128627457989883, 0.6361122730324649, -0.09041997752138764, -0.7740637930850853]; [0.5006869663256237, -0.5013263705698685, -0.20567666906260862, 0.13672797970315753, -0.5235074781657596, -0.610501921196344, 0.5128627457989883, 0.6361122730324649, -0.09041997752138764, -0.7740637930850853]
DivisibleByTwo; [0.9586782182299975, -0.8817178487456983, -0.7221414857474922, 0.45271759050223204, -0.6642973313477321, 0.7390286990924271, 0.7938051919511562, -0.9274548709585309, -0.12533445998877335, -0.06177499042046186]; []
IsNotNaN; [0.21324412882261945, -0.08397823147621741, NaN, -0.0027518392469507713, 0.23992907756818949, -0.2701917261404849, 0.4551187321877954, -0.6015720849813675, 0.3314112627111674, 0.6897632922560699]; [0.21324412882261945, -0.08397823147621741, -0.0027518392469507713, 0.23992907756818949, -0.2701917261404849, 0.4551187321877954, -0.6015720849813675, 0.3314112627111674, 0.6897632922560699]
IsPositive; [-0.9230938492203591, 0.473155546446431, -0.2160606219278951, 0.5337064287214754, -0.8966666592738621, -0.6805734738247389, -0.14109700449078755, 0.4088367101500334, 0.10843883635834861, 0.7762318819010618]; [0.473155546446431, 0.5337064287214754, 0.4088367101500334, 0.10843883635834861, 0.7762318819010618]
IsNotNaN; [0.41059833207663243, 0.7417276096595353, -0.5230229261031112, NaN, -0.015141383318020729, 0.9642129501329857, NaN, 0.510756812742865, NaN, 0.7663665347725976]; [0.41059833207663243, 0.7417276096595353, -0.5230229261031112, -0.015141383318020729, 0.9642129501329857, 0.510756812742865, 0.7663665347725976]
IsNotNaN; [-0.23567065974575163, -0.798075219760809, 0.19917292140126963, 0.698169624073625, -0.175818098009054, -0.8999021704210695, 0.4604107109070916, 0.4043519193776166, -0.4255877630438374, 0.7355494646543272]; [-0.23567065974575163, -0.798075219760809, 0.19917292140126963, 0.698169624073625, -0.175818098009054, -0.8999021704210695, 0.4604107109070916, 0.4043519193776166, -0.4255877630438374, 0.7355494646543272]
IsPositive; [0.9105632462464497, -0.447719606174914, 0.6262457583263226, -0.09835094208204165, -0.7635946764888266, -0.39933665574162913, 0.04257558633060543, -0.5423871474343218, 0.5711058163618248, -0.0427746374793645]; [0.9105632462464497, 0.6262457583263226, 0.04257558633060543, 0.5711058163618248]
DivisibleByTwo; [0.4170708310210338, -0.9735180341051359, 0.4814446130400569, -0.2135989050769429, -0.7469013143515273, 0.6980086413686784, -0.9661953479611591, 0.7534857139447506, -3.001971185918606E-4, 0.7777702906129298]; []
DivisibleByTwo; [0.05887353768724335, 0.3295707083026047, -0.4196289449160091, 0.8679739444720571, -0.6302452595786259, -0.06801592808412904, 0.5414253411033265, 0.12205211721623521, -0.8645474375956961, -0.8621548073325822]; []
IsNotNaN; [0.050214923328955274, 0.38429342269612143, 0.8714631524362233, 0.4837341154279431, NaN, -0.8926088120116629, NaN, NaN, -0.6770883088617861, -0.5650663799159878]; [0.050214923328955274, 0.38429342269612143, 0.8714631524362233, 0.4837341154279431, -0.8926088120116629, -0.6770883088617861, -0.5650663799159878]
IsNotNaN; [0.46888908049016975, 0.14756117480678954, NaN, 0.6425003904910913, 0.33434188016445177, -0.6283453020963261, -0.6005049920354093, -0.7498291855070105, 0.2847667005531347, 0.3449567932854589]; [0.46888908049016975, 0.14756117480678954, 0.6425003904910913, 0.33434188016445177, -0.6283453020963261, -0.6005049920354093, -0.7498291855070105, 0.2847667005531347, 0.3449567932854589]
DivisibleByTwo; [0.5596263140655247, -0.4491107512801569, 0.7023098748266496, -0.8553310138176327, 0.6528729850827204, 0.04327427027190556, -0.4442275846859127, 0.09112959020219713, -0.5331894954121281, -0.6859013207867288]; []
IsNotNaN; [-0.9152815039877769, -0.22788622349651178, -0.7146579239481381, -0.7151921393347846, -0.3539003481276657, -0.8286852901293822, NaN, -0.5819149403884758, NaN, -0.04497798070395187]; [-0.9152815039877769, -0.22788622349651178, -0.7146579239481381, -0.7151921393347846, -0.3539003481276657, -0.8286852901293822, -0.5819149403884758, -0.04497798070395187]
IsNotNaN; [NaN, NaN, -0.6199970952387048, -0.6285952265289971, NaN, NaN, -0.5035073681372957, 0.9296956644064176, -0.3139951863143371, NaN]; [-0.6199970952387048, -0.6285952265289971, -0.5035073681372957, 0.9296956644064176, -0.3139951863143371]
IsNotNaN; [NaN, -0.9480353968888533, 0.42897219546247656, NaN, -0.873166898190527, -0.771939133353224, -0.37591054804152146, 0.7729370599524865, 0.9164160097246326, 0.854691994655745]; [-0.9480353968888533, 0.42897219546247656, -0.873166898190527, -0.771939133353224, -0.37591054804152146, 0.7729370599524865, 0.9164160097246326, 0.854691994655745]
IsNotNaN; [NaN, NaN, -0.04445264366659574, -0.09749949213456022, -0.19418397458672843, -0.27585826452079587, 0.1574662530564559, NaN, -0.6572318332011424, -0.6349758619499943]; [-0.04445264366659574, -0.09749949213456022, -0.19418397458672843, -0.27585826452079587, 0.1574662530564559, -0.6572318332011424, -0.6349758619499943]
DivisibleByTwo; [-0.41666199211598154, -0.2457732296512236, 0.4762106555936001, 0.961714221425999, -0.5579500252266341, -0.22250383187472567, -0.8597483003121851, 0.8136148035965236, 0.4604695480701184, 0.6042561461871163]; []
DivisibleByTwo; [0.09649418004189636, -0.3851898561922871, 0.9062082575996249, 0.08028070610717086, -0.07346123909715585, 0.3495272519768251, -0.13279921299278574, -0.8539502782775024, 0.6300871970299693, 0.1125488776221173]; []
IsNotNaN; [0.5271735222113654, -0.16430569192759892, 0.6897911865316779, 0.8060549709976572, -0.8766566277722778, NaN, NaN, -0.9664894855188195, 0.032452124171086005, 0.5580096137682695]; [0.5271735222113654, -0.16430569192759892, 0.6897911865316779, 0.8060549709976572, -0.8766566277722778, -0.9664894855188195, 0.032452124171086005, 0.5580096137682695]
DivisibleByTwo; [0.01263203161957649, 0.19285808780322333, 0.003508759679162532, 0.44099277674557724, -0.2082826771199291, -0.23458658396809717, 0.9403763088846613, -0.7497297924748489, 0.48955910763332655, 0.10350476239768991]; []
IsPositive; [0.8346061657977686, 0.04160896335157749, 0.8854972801563006, -0.3609652305358979, 0.4586887129446642, 0.13162552386465087, 0.07465665967569146, -0.6332131387474704, -0.7478461119161057, 0.4308585465886443]; [0.8346061657977686, 0.04160896335157749, 0.8854972801563006, 0.4586887129446642, 0.13162552386465087, 0.07465665967569146, 0.4308585465886443]
DivisibleByTwo; [-0.017613676396169176, 0.7004368966786603, -0.5322784652092278, -0.19038792897146783, 0.21116717413327324, -0.6441275423187571, -0.9080330745020166, -0.4533211600929554, -0.23722702881319813, -0.21443798346432352]; []
IsPositive; [-0.6852674055244206, 0.18644358430353258, -0.9055137314343435, -0.13064198886219103, -0.6062174440534103, 0.7177586231951809, -0.30331330624948083, 0.061257064366627256, 0.6459616124606407, -0.11162777817170078]; [0.18644358430353258, 0.7177586231951809, 0.061257064366627256, 0.6459616124606407]
IsNotNaN; [0.9201427588269249, NaN, -0.006612646479823514, -0.31841677480625985, NaN, NaN, 0.002968346085786555, -0.4928161233064423, 0.4683265423030327, 0.8931642117279182]; [0.9201427588269249, -0.006612646479823514, -0.31841677480625985, 0.002968346085786555, -0.4928161233064423, 0.4683265423030327, 0.8931642117279182]
IsPositive; [0.6798075262696015, 0.4966452693531853, -0.6503994088486056, -0.17006511939615043, 0.409815690119115, 0.4428893752950369, 0.8765270628083774, -0.15487092242985812, -0.6058748517878176, -0.6121175604131106]; [0.6798075262696015, 0.4966452693531853, 0.409815690119115, 0.4428893752950369, 0.8765270628083774]
IsPositive; [-0.3728983281605729, 0.491641753935705, 0.6776598121643722, -0.36332499172070376, 0.9518443254728017, -0.40481750126889415, -0.5535170140818841, 0.06440565638070317, -0.9873552112218202, -0.34656835029494437]; [0.491641753935705, 0.6776598121643722, 0.9518443254728017, 0.06440565638070317]
DivisibleByTwo; [0.653310205815715, 0.9831737319083016, 0.874535599691401, -0.7143029718597855, 0.22784015064143848, 0.5485797200658291, -0.1896347757236585, -0.9384983662801103, 0.13832168763307773, 0.7111205308863819]; []
DivisibleByTwo; [-0.35564029603744296, -0.03182652252835916, 0.3930414402590723, 0.05551866432638697, -0.5609217466221725, -0.9783514844428942, -0.2948184960497966, 0.5214541000392765, 0.12128166795986961, 0.0813387287530336]; []
DivisibleByTwo; [0.9917625572786621, 0.9620592625565301, -0.2542500181963421, 0.7990586393882486, 0.13715340967578737, 0.7719271288948473, 0.012100425622626032, 0.8136427936955966, 0.5238936648473971, -0.5957260384369807]; []
DivisibleByTwo; [-0.6218277534245618, -0.2029715070402065, -0.2816585768362052, 0.4972879873051004, -0.34543836574409803, 0.7642184571896355, 0.39592416737709635, 0.5425867597339251, -0.6815958749283395, 0.17867825300214224]; []
DivisibleByTwo; [-0.899464001518087, -0.44590391874207014, -0.049481383848355875, -0.18363529690697833, -0.2451092544159239, -0.9664460848830334, 0.17854266532327712, 0.0957211378501246, -0.0265951129794757, 0.6792337515240303]; []
IsPositive; [0.2997033240067335, 0.6376172736578232, -0.8235484227374341, -0.2526277594310571, 0.3603851001777012, -0.811649239945023, 0.26459102743980845, -0.24882335843931247, 0.8856704011551826, 0.7204688273212638]; [0.2997033240067335, 0.6376172736578232, 0.3603851001777012, 0.26459102743980845, 0.8856704011551826, 0.7204688273212638]
DivisibleByTwo; [-0.8163511221016839, 0.27017769098362976, 0.6805452028411676, 0.5203094242764015, -0.9037196233527107, -0.9569143691646895, 0.16547655081484902, 0.3778006305959407, 0.07292234971445799, -0.7698042370367866]; []
IsPositive; [-0.4374138194609387, -0.38680069008506957, -0.7751979344930771, 0.756782274891574, 0.9146576446158949, 0.6070890385470022, 0.023936522622447054, 0.9868080659695353, -0.6022672212946938, -0.25590059073260196]; [0.756782274891574, 0.9146576446158949, 0.6070890385470022, 0.023936522622447054, 0.9868080659695353]
DivisibleByTwo; [-0.8101772362080828, 0.6266709824314884, 0.679066306152009, -0.7625514643215474, 0.9697833686760919, -0.27840477068545577, -0.8242749926584148, -0.8294491687820036, -0.1003010059119549, -0.11733068060670004]; []
DivisibleByTwo; [0.9851323551181395, 0.2735746364197593, 0.2041241420769806, 0.47042075734597133, 0.9873757000214867, 0.44697231306759555, 0.8795485490027495, 0.3612102812461462, 0.16010841564208178, -0.14935171707551564]; []
DivisibleByTwo; [0.20183169221885455, -0.8643830938415409, 0.5003950473372432, 0.4965693998799927, -0.09139553173526305, 0.053377878777888466, -0.886136374283369, 0.7142646668430839, -0.3703035879423038, 0.017335927587458277]; []
IsNotNaN; [0.010043972537455259, NaN, 0.27341372844715384, 0.8792393272540804, -0.06621244237545132, -0.3605504716080905, -0.9762417833155048, -0.09687145642233563, -0.8338207621662761, -0.015548074382918164]; [0.010043972537455259, 0.27341372844715384, 0.8792393272540804, -0.06621244237545132, -0.3605504716080905, -0.9762417833155048, -0.09687145642233563, -0.8338207621662761, -0.015548074382918164]
DivisibleByTwo; [0.36344304391660387, 0.9774357355674608, -0.35563296705668623, 0.7028239967354108, -0.8901731051764055, 0.254812653956602, 0.9782524918512896, -0.881583126281068, 0.8356542744678055, 0.29909424252921823]; []
DivisibleByTwo; [-0.017001864262997213, -0.1780177978046995, 0.24375354105796343, -0.4683053675565494, -0.8001737787925891, -0.5258135599031317, -0.9253874017946335, 0.7951241376713496, 0.5435964800512965, 0.47614244118162397]; []
DivisibleByTwo; [-0.051984692803829446, 0.1892054837668149, -0.305831526034128, 0.8241698310190284, -0.8253112916639014, 0.9859587663219505, -0.8604327246402568, -0.9778636819254107, 0.02117634449518091, -0.6079853511447841]; []
IsPositive; [0.8824893030501901, -0.20612699837876725, 0.17091871397399094, -0.7971932751017683, -0.2623013515913799, 0.5197961234114548, -0.8032128695497383, 0.9806838054798059, 0.8763814679161661, -0.18399002789441132]; [0.8824893030501901, 0.17091871397399094, 0.5197961234114548, 0.9806838054798059, 0.8763814679161661]
IsNotNaN; [NaN, 0.28947407167329864, 0.8145403760561392, NaN, NaN, NaN, -0.6039724769975159, -0.8473930369788365, -0.8664290001192458, -0.946179551986124]; [0.28947407167329864, 0.8145403760561392, -0.6039724769975159, -0.8473930369788365, -0.8664290001192458, -0.946179551986124]
DivisibleByTwo; [-0.513170077068591, 0.45507138052910223, -0.4235441250791394, -0.5554864262981591, -0.9242639452225778, 0.14916228001416254, -0.536418543941485, 0.2579112972810129, -0.7324704968691735, -0.13131037455166794]; []
DivisibleByTwo; [-0.4239715042211991, 0.9109538306236202, -0.741630431570593, -0.6150753525329327, 0.24424228504139944, -0.564070789498599, -0.20096443196101133, -0.9724487999070857, -0.942052104982239, 0.27890140297993704]; []
IsNotNaN; [-0.11977346730026261, 0.8833516250131461, -0.7608091758730797, -0.6710937865276878, -0.5848761714558073, 0.7006670187829251, NaN, 0.8764630304802985, NaN, -0.9531881654740861]; [-0.11977346730026261, 0.8833516250131461, -0.7608091758730797, -0.6710937865276878, -0.5848761714558073, 0.7006670187829251, 0.8764630304802985, -0.9531881654740861]
DivisibleByTwo; [-0.5528098333612597, -0.7746599606910527, -0.11680805610748979, 0.19726420244628962, -0.8903106774856353, 0.019401522136306193, 0.4089547651607046, 0.47959237825021517, -0.5826606231770022, 0.9967567226378455]; []
DivisibleByTwo; [-0.8216371486599483, 0.35172025606311097, -0.3661136244706813, 0.8463197518470242, 0.9171476612502616, 0.3632745349245716, -0.37455889578519197, 0.11728165047431482, 0.6410106751323179, 0.3303960346893493]; []
IsPositive; [0.6085560866861242, -0.28011511121352317, 0.09514998544209208, -0.4514596486421476, 0.1380889737254527, 0.45628261298158534, -0.630727915337882, -0.3255688972751669, 0.38838013245632497, -0.7668449911928843]; [0.6085560866861242, 0.09514998544209208, 0.1380889737254527, 0.45628261298158534, 0.38838013245632497]
DivisibleByTwo; [-0.6050621520192789, -0.9725279012771844, -0.7089629542556162, 0.13314557353933765, -0.8018943785197554, -0.5074367492028113, 0.4148858739092125, -0.639929133627559, 0.7582513768944221, 0.9504075239539649]; []
IsPositive; [-0.3915861135806702, 0.22324802752265072, 0.1164610752488362, -0.7819649254279004, 0.37229363481645716, -0.2108248628546121, -0.021594816095978242, -0.14858673215637785, -0.3106556380275063, 0.604189790050512]; [0.22324802752265072, 0.1164610752488362, 0.37229363481645716, 0.604189790050512]
IsPositive; [0.47412221807316457, -0.15635018800484812, -0.3884470643097506, 0.9796216276236047, 0.9650532054720271, 0.24643891828766273, -0.7114593309639918, -0.2686537241799687, 0.8297841875402343, -0.9509607610324526]; [0.47412221807316457, 0.9796216276236047, 0.9650532054720271, 0.24643891828766273, 0.8297841875402343]
