Operator; left array; right array; result
DoubleSumOfTwo; [0.13540512209276634, 0.454637722388999, 0.9209612219208991, 0.4962558102836543, 0.5958632537546689]; [-0.08979628401932893, -0.16156737077426264, -0.3918854019080944, 0.7793343249494662, 0.6682452815689186]; [0.04560883807343741, 0.2930703516147364, 0.5290758200128047, 1.2755901352331205, 1.2641085353235875]
DoubleSumOfTwo; [-0.10473970963841706, -0.9558746423740281, 0.07018392729849365]; [-0.46168329157177723]; [-0.5664230012101943]
DoubleProductOfTwo; [-0.6363430864689581, 0.7318967108712864, 0.9705129770632379]; []; []
DoubleSumSqrtsOfTwo; [0.6998126232468522, 0.7144427111616742, -0.8188707720757724, -0.9807080967215387, 0.5696099849303022]; [0.25793657486347965, 0.8334895623810672, -0.4182184780459903, -0.015590922121463624]; [1.3444226060840097, 1.7582036255684474, NaN, NaN]
DoubleSumOfTwo; [-0.5418567814945092, 0.7462572075151297, -0.8569084538992311]; [-0.09171573885590822, 0.9300629296725229, -0.20220690212597203, -0.7426962289237244]; [-0.6335725203504174, 1.6763201371876526, -1.0591153560252031]
DoubleSumSqrtsOfTwo; []; [0.22165736765755417, 0.42877859898243376, -0.020167026517355024, -0.1163326914775138, -0.943889765444416]; []
DoubleSumSqrtsOfTwo; [-0.49969659137702394, -0.7189398459053435]; [-0.5160503756564656, 0.6101566010647559, -0.11200048778491012, -0.8316323774768166, -0.03989369793020159]; [NaN, NaN]
DoubleProductOfTwo; [0.41429515019613405, 0.2747076384699465, 0.7366702211864933, -0.7209895909349251, 0.6093706061436375]; [0.4895539896274048, 0.22508222224297514, -0.5389401059811922, -0.03952877081515371]; [0.20281984366180233, 0.06183180573393537, -0.39702112707943704, 0.02849983230017808]
DoubleProductOfTwo; []; [-0.08026903331980173, 0.7867288600962883, 0.5020601397459146]; []
DoubleSumSqrtsOfTwo; [0.04929485372975306, -0.45862585012122437, -0.8485881592337645, -0.24714276521635736]; [0.37111911074202997, 0.719987939626511, -0.8651954056710829]; [0.8312199058443279, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.7012256900810849, 0.9082139180106261, 0.7296992862659157, 0.8248033689716776, 0.9609830905654071]; [-0.8402621733581905, 0.8019477757950944, 0.7151157878110088, -0.3154803474296648, -0.4211372594546072]; [NaN, 1.8485179490961743, 1.6998695672635273, NaN, NaN]
DoubleSumOfTwo; [-0.5619525840386903]; [0.058119933962674786, -0.7172677258408899, 0.9010748908827926]; [-0.5038326500760155]
DoubleSumSqrtsOfTwo; [-0.2936147163941638, 0.2734807135252264, -0.22447335575938498, 0.9433031235800049]; [0.2938481036633984, -0.6240357670102066, 0.8888532722895242, -0.888272080763244, 0.19239865433782333]; [NaN, NaN, NaN, NaN]
DoubleProductOfTwo; [0.07534226669070265]; [-0.32454248119060103, 0.07682900190928366, 0.07554884324241096]; [-0.024451766170324612]
DoubleSumSqrtsOfTwo; [0.45323339271590446, -0.3280060266792775, -0.1425687726561975]; [-0.3441923457342797, -0.06381924933100902, 0.5251823558081326, -0.09878767854699255, -0.3869923837581124]; [NaN, NaN, NaN]
DoubleProductOfTwo; [0.661217459525175, 0.5997613635533439, -0.34266071605005677, -0.9552564280063585]; [-0.7303731698790312, 0.7235756963448612, -0.39239765635957347, 0.8139840151279372]; [-0.4829354918927621, 0.43397274627385424, 0.13445926190453555, -0.7775634627453869]
DoubleSumOfTwo; [0.6665547665160787, 0.9302079022392415]; [0.75561994641492, -0.34475530158816214, -0.6514129783883937]; [1.4221747129309987, 0.5854526006510794]
DoubleSumSqrtsOfTwo; [-0.1728537634166003, -0.8306094833052307, -0.5504584051502421]; [-0.47164411945162277, 0.04755756111465459, -0.6693305406056522]; [NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.6896686207570302, 0.4746943973333231]; [-0.863688290865207, -0.23464583495418867]; [NaN, NaN]
DoubleSumSqrtsOfTwo; [0.8311737064930145, 0.23880924087375766, -0.8240169088078562, 0.7122621885274769, 0.960734795277326]; [-0.7486029639423795, 0.4761320834485263, 0.43339043760749507]; [NaN, 1.1787043724020807, NaN]
DoubleProductOfTwo; []; [0.01246567030469703, -0.8474193751462469, 0.7292480837577182]; []
DoubleProductOfTwo; [0.17694762137761932]; []; []
DoubleSumSqrtsOfTwo; [0.6240093505348032, -0.3440031179154486, -0.8206866405258213, -0.22484604013623466, 0.6481054375629225]; [-0.7496809394436854, -0.4459745967854425, 0.3920064600671245]; [NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.6783551443101992, 0.1059508161428151]; [-0.22070615111540515, 0.03191012223792811]; [NaN, 0.5041349152232839]
DoubleSumSqrtsOfTwo; []; [-0.8569446249471118, -0.3184182759339884, 0.824704947772146, -0.9217206339659247, -0.37981283028722745]; []
DoubleSumSqrtsOfTwo; [-0.7852526112284168, -0.5787733662584129, -0.6480831314565862]; [-0.7753022164415599]; [NaN]
DoubleProductOfTwo; [0.5324903071887763, -0.15249668599998012]; [0.9621797492189126, -0.87473731298697, -0.5673290543689617, 0.49866948594763083, 0.5696469616947328]; [0.5123513902323985, 0.13339454135104029]
DoubleSumSqrtsOfTwo; [0.570766501008394, 0.26343116986875725]; [-0.46831237910962575, 0.5872039087884182, -0.8440424857150548, 0.2677660737320906]; [NaN, 1.2795477754666917]
DoubleSumSqrtsOfTwo; [0.5237956542425026, -0.6828358879828513, -0.3741230218303413, -0.23788774526348822, -0.21427394545243317]; [-0.9447492329285474, 0.361701730148166, -0.717685112206206]; [NaN, NaN, NaN]
DoubleSumOfTwo; [-0.2610625869640628, 0.7879642151769561, -0.7605320625144765]; [-0.5427115328415066, -0.4038222979268533, 0.26806353523840265, 0.16447111174860063]; [-0.8037741198055695, 0.3841419172501028, -0.4924685272760738]
DoubleProductOfTwo; []; [-0.43986097226351384]; []
DoubleSumOfTwo; [-0.5227246821007523, 0.973595606611533, 0.2579660641779977]; [0.43846910915467774, -0.9528657493343875, 0.7391059249277634, -0.5908816376903621]; [-0.08425557294607455, 0.02072985727714549, 0.9970719891057611]
DoubleProductOfTwo; [0.8400400041062615]; [0.7804853153267339]; [0.6556388874919463]
DoubleSumOfTwo; [0.6933698029984703]; [0.7039872425439193, -0.9730813317770739, -0.9619742222231826, -0.45381426390987434]; [1.3973570455423896]
DoubleSumSqrtsOfTwo; []; [0.1046473711897693, 0.010689300502804144, -0.7188436315322442]; []
DoubleProductOfTwo; [-0.7625246289557537, 0.6753864571159767]; [0.7432644153264802, 0.9576033424546755]; [-0.5667574225128396, 0.6467523287828806]
DoubleSumSqrtsOfTwo; [-0.5048623843108659, 0.6392416910698928, -0.8377188901530288, 0.8577913573879057]; [0.9438081673699374, -0.4030315737942787, 0.1170229624493786]; [NaN, NaN, NaN]
DoubleProductOfTwo; [-0.9280889939545598]; []; []
DoubleSumOfTwo; [-0.9351218993482542, -0.6481393106793434]; [-0.10973926221327912, -0.9297970232129966]; [-1.0448611615615333, -1.57793633389234]
DoubleSumSqrtsOfTwo; [0.528829174164108, 0.9576723242960947, -0.7166420922271635, 0.8840592026236678, -0.7958547983566489]; []; []
DoubleProductOfTwo; []; [-0.15678429443746267]; []
DoubleSumSqrtsOfTwo; [-0.9535598357302135, -0.11688173109914324, -0.5072360656603991, 0.1660423478761639, 0.8123818066621524]; [-0.7763870633106786, -0.4497649102828756, -0.09106147492040195, -0.367185890493926, -0.3141970368284519]; [NaN, NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.41945467675392, -0.34320292114576234, 0.7163145816160186, 0.3234062665641324]; [-0.859951753278706, 0.47775436598916676, -0.9666111446925905, -0.8844805160693938]; [NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.4911786732939216, -0.11869022732891565, 0.07981046197838548, 0.6415961784976483]; [-0.8162421051665605, -0.5625271031775574, -0.7206641283734159, -0.30736985959346663]; [NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.038744529332125355, -0.6851874598494154, 0.258766803361143, -0.3132315724978323, -0.028587425632814023]; [-0.2683914861572101, 0.5427835870680946, 0.7751581533069896]; [NaN, NaN, 1.3891219288122902]
DoubleSumOfTwo; [0.44717972583793775, -0.8868634646916158, -0.9070731373234007]; [0.6039072429329384, 0.4827864749819457, -0.3905563817258553, -0.44544087032489155]; [1.0510869687708762, -0.4040769897096701, -1.297629519049256]
DoubleSumSqrtsOfTwo; [0.8406196863159938, 0.23732121895922553, 0.5518006860221989, 0.07758855252467733, 0.7790422049897197]; [-0.2292114599251085, -0.5876539815418336]; [NaN, NaN]
DoubleSumOfTwo; []; [-0.8588072043802379]; []
DoubleSumOfTwo; [-0.3970616404352856, 0.6436218044099287, -0.11973827946572868]; [0.9397325770371592]; [0.5426709366018736]
DoubleSumSqrtsOfTwo; [-0.7796160035590172, -0.31125573758980507]; [-0.22084554956769886, -0.4235023467533876, -0.027744363066375843, 0.5084851104615911]; [NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.2758622266301074, 0.5638820176273762, -0.026237649351981807, -0.9681381684853552]; [0.6534437144764165]; [NaN]
DoubleSumOfTwo; [0.9430370251951854, -0.6345509738194133, 0.8134409881013454, 0.6682179809157767, -0.2869944958510231]; [-0.6698222935248752, -0.33680483491330904, 0.9754817372889595, 0.19879185372009145, 0.37517093240969057]; [0.2732147316703102, -0.9713558087327223, 1.7889227253903048, 0.8670098346358681, 0.08817643655866747]
DoubleSumSqrtsOfTwo; [-0.3325253759097757, -0.8469290686125088]; [-0.5102228126984165]; [NaN]
DoubleProductOfTwo; [-0.9167197661101414, -0.30558298023237285, -0.5583075435727465, -0.8556587865247085, -0.6947797024095095]; [-0.9271788098121785, 0.31806424531928124]; [0.8499631416732996, -0.09719501999002651]
DoubleSumSqrtsOfTwo; [-0.016494396916519438]; [0.5945874875197756, -0.7082866126813827, -0.7855648471583341, -0.014132485055011745]; [NaN]
DoubleProductOfTwo; []; []; []
DoubleSumOfTwo; [-0.4199399694447563]; [-0.7114610778565, 0.9236074807532344, 0.04804364675135386]; [-1.1314010473012563]
DoubleProductOfTwo; [0.9242544562777717, -0.8228866002676034]; [-0.03508567814663999, -0.3107002031018222, -0.4637077739266475, -0.8878268877275797]; [-0.03242809437855964, 0.2556710338329124]
DoubleSumOfTwo; [-0.014568511372688109]; [-0.3440069863140818, 0.7852072812236215]; [-0.3585754976867699]
DoubleSumSqrtsOfTwo; [0.395565368178066]; [-0.8679684720307692, 0.8209070235783626]; [NaN]
DoubleSumOfTwo; []; [0.6039040731224725, 0.8998232386643383]; []
DoubleSumOfTwo; [-0.7462836619666102, 0.7745146540712007, 0.5784541564540733]; [0.41807322401129876, 0.7799923355059346, -0.9303459451514342, 0.3850964360543365, -0.35507403183681774]; [-0.32821043795531146, 1.5545069895771353, -0.35189178869736093]
DoubleProductOfTwo; [0.16988029609490152, -0.791941505521808]; []; []
DoubleSumOfTwo; []; []; []
DoubleSumSqrtsOfTwo; []; [-0.7326147038632873, -0.8487955513156298, 0.9374806693874462, 0.14663305436933372]; []
DoubleSumOfTwo; []; []; []
DoubleProductOfTwo; []; [-0.361491588893897]; []
DoubleProductOfTwo; [-0.063933401107934, 0.43384247387354824, 0.3533242563826915]; [-0.6511253370839114, 0.9232827922128539, 0.8012127891172216, -0.7431179049409631]; [0.04162865734732444, 0.40055929065850177, 0.28308791291914454]
DoubleProductOfTwo; []; [0.6766496184378648]; []
DoubleSumOfTwo; [-0.8858688122765694]; [-0.18542845145114106, 0.3117665502022531, -0.32100398864043633]; [-1.0712972637277105]
DoubleSumSqrtsOfTwo; [-0.9824219259725482, -0.31331592034441313, 0.8389046656873074]; [-0.81564716820745]; [NaN]
DoubleSumSqrtsOfTwo; []; [-0.5508879374205797, -0.6632666628071588]; []
DoubleSumOfTwo; [0.3049563282018015, 0.4111657181539692]; []; []
DoubleSumOfTwo; [-0.17719436428909763, 0.10892014184885612, 0.7672011672986709]; [-0.03393993803548323, 0.6568791586772798, 0.4762491704475085]; [-0.21113430232458086, 0.7657993005261359, 1.2434503377461794]
DoubleSumOfTwo; [0.8381110254866342, 0.8045246994007831]; [0.17124745632637328, -0.1239540923185598]; [1.0093584818130075, 0.6805706070822233]
DoubleProductOfTwo; [-0.2868738221769793, -0.3702461531931096, 0.5762295954828207, -0.5024218456480918]; [0.5571066198217911, -0.8396277407500585, -0.06519150178491895, 0.5784840692823532, 0.8593828566920474]; [-0.15981930538837452, 0.3108689411269307, -0.03756527270244143, -0.29064303376685846]
DoubleProductOfTwo; [-0.28465344896044553, 0.3265281272018339, 0.5655355517485019, -0.7557168800673566, 0.6444642447258122]; [0.4493195340103231]; [-0.12790035504133868]
DoubleProductOfTwo; [0.35659635324228467, -0.33653183648984974, 0.2753402183493918]; [0.7662510474852704, -0.2355404480483485, 0.8983569663454216, -0.747012349369143, -0.16260023057407347]; [0.2732423292013281, 0.07926685954935277, 0.24735380326924564]
DoubleSumOfTwo; [-0.6704205790890385, -0.13461972249989818, 0.415569525724945, -0.4272543701648923]; []; []
DoubleProductOfTwo; []; [0.6575395690789014, -0.6562480114670126, 0.680024779537417, 0.8001917195603527, 0.5684280470624588]; []
DoubleProductOfTwo; [0.4349013404290265, 0.8038401888019948, 0.7635182357296819, 0.5191176969778746]; [-0.6853379104998185, -0.6556808247410497, 0.9482802674664739, -0.0042214950124053185, 0.6537681167290241]; [-0.2980543759231993, -0.527062597953693, 0.724029276793273, -0.002191452768643433]
DoubleSumSqrtsOfTwo; [-0.3457248255528651]; [0.9793627398217324, 0.8727768336785029, 0.4591577635100521]; [NaN]
DoubleSumSqrtsOfTwo; [-0.6668444145550334]; [0.24210906308283553, -0.9045558303488612, -0.9719574538714131]; [NaN]
DoubleProductOfTwo; [0.19518176971041457]; [-0.6503570444290998, 0.46802690958831916]; [-0.1269378388753064]
DoubleSumOfTwo; []; []; []
DoubleProductOfTwo; [0.20864897733536258]; [-0.4788332769660413, 0.6122065638054495, 0.8144558348392914, 0.22599512523584608]; [-0.09990807355310494]
DoubleSumSqrtsOfTwo; [0.12825152064741951, 0.26004027853025646]; []; []
DoubleSumOfTwo; []; [-0.6715972825406384, -0.041982808711062525, -0.37812045585543697]; []
DoubleSumSqrtsOfTwo; [-0.6704662427911559, -0.45958021588471243, 0.7368135851281163, 0.0869053599849674, 0.8430799177242143]; [-0.9962150279404793, -0.4982713817164297]; [NaN, NaN]
DoubleProductOfTwo; [0.4298129925753915, 0.1962670145848282, 0.5370053515493642]; []; []
DoubleSumOfTwo; [0.44544898182491344, 0.6015974123457426, -0.4882520096801566]; [0.659757784652492, -0.8287583985168177, 0.010940152011182258]; [1.1052067664774055, -0.22716098617107505, -0.4773118576689743]
DoubleSumOfTwo; []; [-0.8726725845468839, 0.7203752355583575, -0.18108763294651853]; []
DoubleSumOfTwo; [-0.4201113215810408, 0.35651182184882324, -0.8631853876471622, -0.38097965709359527]; [0.09932709883241597]; [-0.32078422274862484]
DoubleSumOfTwo; []; [-0.8070298443749515, -0.8406296832776656, 0.8993337538526596, 0.809103982484249, 0.726056069908757]; []
DoubleSumSqrtsOfTwo; [-0.38777447526638475]; [-0.305532359973145, -0.5422390057053013]; [NaN]
DoubleProductOfTwo; []; []; []
DoubleProductOfTwo; [0.6927455726896479]; []; []
DoubleProductOfTwo; [0.18226222801236158, 0.7990966189299271, 0.48938450226295194, -0.18795273307917482, -0.0026221671480877173]; [-0.6429111819722009, -0.5398199184959172]; [-0.11717842444031416, -0.43136827170111625]
DoubleSumSqrtsOfTwo; [0.33114529719511476, 0.4728855326049448, 0.8933598500325526, -0.6950517626761161, 0.558239027343471]; [0.70340302737788, -0.9277999040992455, -0.34628227637672304, 0.06524483987759, 0.038962414990535876]; [1.4141435131628344, NaN, NaN, NaN, 0.9445429456646348]
DoubleSumSqrtsOfTwo; [-0.5947199326766963]; []; []
DoubleSumOfTwo; [0.04137077972124059, -0.28576917215652053, -0.09209758628069631, -0.36550697729723924]; [-0.44182674695695434, 0.6946562573207362, -0.5645678273146879]; [-0.40045596723571375, 0.4088870851642157, -0.6566654135953842]
DoubleProductOfTwo; [-0.4207535196586225, -0.7433004373444165, -0.6458077071002404, 0.9555836606704091]; [0.8647677304235566]; [-0.3638540662629103]
DoubleProductOfTwo; [-0.5392775912963208, -0.23589739127068454, 0.12559828014317698, 0.1374410754285651, 0.0142131312716951]; [-0.31913391194371443, -0.9743787981800915, 0.12514829380628067]; [0.17210176733397847, 0.22985341660014844, 0.01571841046492186]
DoubleProductOfTwo; [-0.5363211352978672, -0.15107297336354697]; [-0.6370950007471983, -0.7849635110835995, -0.8153614035169092, -0.5648387212062986]; [0.3416875140933329, 0.11858677160128894]
DoubleSumSqrtsOfTwo; [0.6985526019388528, 0.09809114053242785, 0.5431206555498409, -0.2061509171967577, -0.5238431704427038]; [-0.5306560413770447, -0.6743600962782565]; [NaN, NaN]
DoubleSumOfTwo; [0.731650540358108, 0.5555236934728454, -0.22549934851912856, -0.12380677526577988]; [-0.024719756049745856, -0.059007719156988214]; [0.7069307843083621, 0.49651597431585714]
DoubleSumSqrtsOfTwo; [0.5582240218794172, -0.35361151692144266, -0.3597173258148181]; [-0.5573053301350104, -0.9037366733946435]; [NaN, NaN]
DoubleProductOfTwo; []; [-0.8050988116846691, -0.842487992449557, -0.8795744258405513]; []
DoubleSumOfTwo; [-0.3169274834521145]; [-0.9349699696797629, 0.33462368214769866, -0.46637983564845586, 0.19851350875085827]; [-1.2518974531318774]
DoubleSumOfTwo; []; [-0.5757973289232383, -0.9869120390199526]; []
DoubleSumOfTwo; [-0.9427321715774237, -0.6083058192785094, 0.8668587617306742, -0.8730613559738516]; [-0.1775850801886314]; [-1.1203172517660551]
DoubleSumOfTwo; [0.6969430095286926, -0.6377826318109483]; [0.8776736373790395, -0.7987590338654906, 0.33637639266711217]; [1.574616646907732, -1.436541665676439]
DoubleSumSqrtsOfTwo; []; [0.9710127879543635]; []
DoubleSumOfTwo; [-0.7895730211217338, 0.18051851044481393, 0.9654671080301325, 0.660361578957106]; [-0.19026484180201964, -0.5464039407153776]; [-0.9798378629237534, -0.36588543027056364]
DoubleProductOfTwo; [-0.8175243105714931]; [0.31350172627255635, -0.5710766791939954]; [-0.2562952826339446]
DoubleSumSqrtsOfTwo; []; [0.609871212601452, -0.15044018215862365, -0.13877775522157054, -0.47465938971135735]; []
DoubleSumSqrtsOfTwo; [-0.5879503679128943]; [0.3628296205512844]; [NaN]
DoubleProductOfTwo; [0.35438062862334063, 0.8943768729178276]; [0.8253131891312817, -0.239429807214951, 0.7519831931801488]; [0.2924750067754776, -0.2141404822602262]
DoubleSumSqrtsOfTwo; [0.27839554984661086, -0.8011508203159496, 0.8733057855860002]; [-0.7831187297094582]; [NaN]
DoubleSumSqrtsOfTwo; [-0.22757836610236581, -0.20097997664804224]; [0.5963327009615327, 0.7912150687186881, 0.25662585090631995, -0.24521826760654908]; [NaN, NaN]
DoubleSumOfTwo; [-0.1951981215704992, 0.4663142358227086]; [-0.9436501903647787, -0.600213039278225, 0.4333843762884624, -0.1331572662446492, -0.4363800387510046]; [-1.138848311935278, -0.1338988034555164]
DoubleSumOfTwo; [0.9819368587416619, 0.8070075291783487, -0.9634458266895762]; [0.6498010576493358, 0.7599740449447681, -0.5638996683009527]; [1.6317379163909977, 1.5669815741231168, -1.527345494990529]
DoubleSumSqrtsOfTwo; [0.14310106854870974]; [0.3572433214879631, 0.618037117295833, 0.1792421986881383, -0.6880799110387246]; [0.9759853720005331]
DoubleSumSqrtsOfTwo; [-0.42151984011970933]; [0.5029251175452663, -0.07193889684322508]; [NaN]
DoubleSumSqrtsOfTwo; [0.25429329640376785, -0.7852627662907941, -0.7748513530631183, -0.21632000898166814, 0.872264081280854]; [0.6512154288564822, 0.46367273352781413, 0.07096407919941217, -0.39683680454753856, 0.294815039739764]; [1.3112542203695496, NaN, NaN, NaN, 1.476919519822271]
DoubleProductOfTwo; [-0.8244162418008825]; [0.47627517702043387, -0.09091953869508407, 0.3906703981083066, -0.9642579931367188, -0.9036092284636783]; [-0.3926489915022361]
DoubleSumSqrtsOfTwo; [-0.9783060332001956]; []; []
DoubleProductOfTwo; [0.3670675824974736, 0.017808707055394724, 0.2507003820338982, 0.820447719417922]; []; []
DoubleProductOfTwo; [-0.4459784958348416, 0.7768651850973296, 0.5357437758362593, 0.5521467448368147, -0.721009085197234]; [-0.8948312031040291, -0.2093904230813073, 0.9926162537785734, 0.06391384907301578]; [0.3990754739864165, -0.16266812978466794, 0.5317879797557755, 0.03528982371565713]
DoubleProductOfTwo; [-0.5935796904512292, 0.3936646268867017, -0.39384950872560376]; []; []
DoubleSumOfTwo; [-0.06905151757423589, 0.8702432003184066]; [0.625539300603877]; [0.5564877830296411]
DoubleSumOfTwo; [0.27605385895155066]; [0.6700079742857143]; [0.946061833237265]
DoubleSumOfTwo; [-0.17259437371646635]; [-0.2897542732903813, -0.7403436965971975, 0.3293805818366242]; [-0.46234864700684764]
DoubleProductOfTwo; []; [0.6276422574242888, -0.4142404469734611]; []
DoubleSumSqrtsOfTwo; []; [-0.8362380953327555, 0.1614299583848282, -0.6942372681972635, -0.5426510047726216, 0.9415685784854335]; []
DoubleSumSqrtsOfTwo; [0.7885730661126211, -0.7119401640447889, -0.24861204944677895, 0.17967448643074446, -0.5495629606756358]; [0.43986111700839414, 0.21434312566266978]; [1.5512366287185888, NaN]
DoubleSumSqrtsOfTwo; [0.2738651856230785, -0.14870161740801446, -0.13360719039078073, 0.5910784188454057, -0.5150469542318008]; [0.34761210183530933, -0.9470440540041634]; [1.1129076844701442, NaN]
DoubleSumSqrtsOfTwo; []; [-0.43142765241412584, -0.6789803616596779, 0.9986409902337985, -0.8332595366124307, 0.48559820897629136]; []
DoubleProductOfTwo; [0.20998887594226678, -0.651101708086915, 0.641432254777011, 0.6858693397529911]; [-0.9934625956709344, 0.7193201359658232, 0.5270964634582935, -0.6683952647221576]; [-0.2086160937556262, -0.46835056918865947, 0.33809667304104163, -0.45843181890901197]
DoubleProductOfTwo; []; [-0.4800734675345917, -0.7452122602271247]; []
DoubleSumSqrtsOfTwo; [-0.48835245940580285, -0.003575653718636218, -0.04558105673047286, -0.9911781855378383]; [0.006545529834172337, -0.5790649180478114]; [NaN, NaN]
DoubleSumOfTwo; []; [-0.07848022551879685]; []
DoubleSumSqrtsOfTwo; [-0.05802474913546907, -0.7618141773798222, 0.4413233320214007]; [0.5133621605066359, -0.13134697525693295, 0.8977775834620525, -0.70927896706797]; [NaN, NaN, 1.6118329659235575]
DoubleSumSqrtsOfTwo; [-0.18086672014014749, 0.1077911698494387, -0.4236650788130223, -0.774932277590139, -0.7784835944338082]; [-0.12396924101359263, -0.05226830026379248]; [NaN, NaN]
DoubleSumOfTwo; [-0.2603584965513568]; [0.8277023114210187]; [0.5673438148696619]
DoubleProductOfTwo; [0.3077244112415045, -0.5383996805387259]; [-0.4806122260986416, -0.5303991327985249, -0.6056823998532666]; [-0.14789611431167335, 0.28556672365674307]
DoubleProductOfTwo; [-0.8308175536824116, -0.2943749063183081]; [-0.14953700401512227, 0.10634898244612834]; [0.12423796786084085, -0.03130647174462642]
DoubleProductOfTwo; [0.22906716099349667, 0.06366273121125454, 0.620199747274415]; [-0.505482637850754, -0.37391866039699484]; [-0.11578947278397603, -0.02380468317172625]
DoubleSumOfTwo; []; [0.20031584994349894]; []
DoubleSumSqrtsOfTwo; [0.4292653191587248, 0.6619666767305394, -0.3145761188308276, -0.8927403762484913, 0.34104654362136744]; [0.15814248534184117]; [1.052854752344118]
DoubleSumSqrtsOfTwo; [0.0754652079645517, 0.9956135083593429, 0.37528204890297934, 0.5652775184235066, 0.16645910049533708]; []; []
DoubleProductOfTwo; [-0.36089621701315844, -0.589889713856397]; [-0.16823387076578822, -0.15125498433282258]; [0.060714967532853555, 0.08922375942744253]
DoubleSumOfTwo; []; [-0.7423980229513081, -0.8120747711520719, -0.7476084829536997, 0.2128447264076072, -0.6502068731921191]; []
DoubleSumSqrtsOfTwo; []; []; []
DoubleSumSqrtsOfTwo; []; [0.7502958327551352, 0.9035714351664033]; []
DoubleSumOfTwo; [-0.14481349654896025]; [-0.17682211688809657, -0.730216471089141, 0.8124933275740887]; [-0.3216356134370568]
DoubleProductOfTwo; [-0.0029820802891473708, -0.7284310798803859, 0.9515710545268359, 0.17221002176728928, 0.09039618478538647]; [-0.68530841557837, -0.5546076226930099, -0.48952679038313374, -0.8660261856433769]; [0.002043644718083072, 0.4039934295081628, -0.4658195241440159, -0.14913838828068843]
DoubleSumSqrtsOfTwo; [-0.45854451012451114, -0.9616666406138297]; [-0.12171699459076302]; [NaN]
DoubleProductOfTwo; [0.5326243965073045]; [0.7879136795175197, -0.2083502408275082, 0.8448358380156153]; [0.41966204805286866]
DoubleProductOfTwo; [0.00878237682716665, -0.7671185303549577]; [-0.26017231664307827, -0.6312438236142537, 0.8096985107184114, 0.10863904307442174, -0.7123101109849317]; [-0.0022849313247564344, 0.4842388342666104]
DoubleSumSqrtsOfTwo; [0.46120016392770347, 0.25364068288157937]; []; []
DoubleProductOfTwo; [-0.2989051417697035, -0.9785710201564719, -0.03537736208050268, 0.5193981109609545]; []; []
DoubleSumSqrtsOfTwo; [-0.24675883307705604, 0.2920274186929812]; [-0.2582973611435637, 0.5072745790792181, -0.6123154282730665, 0.13460147005485057, 0.10212452382642967]; [NaN, 1.2526277235286758]
DoubleProductOfTwo; [0.5860855822731004]; [0.22848905760998894, 0.3547848798762996, -0.6093838784697365, 0.08950096213242875, 0.5295209374582615]; [0.13391414237238233]
DoubleSumOfTwo; [0.9433469251127742, 0.31784738506534893, 0.5364037244297859, -0.19406063383000816, 0.37281523292971497]; [0.8364972420225478, -0.2762361164555025]; [1.779844167135322, 0.04161126860984643]
DoubleSumOfTwo; [0.7174277644744982, -0.21504490769335138, 0.14799848846965546]; [-0.9231466835717308, -0.23378359657416348, 0.5955326533043812]; [-0.2057189190972326, -0.44882850426751486, 0.7435311417740367]
DoubleSumOfTwo; [-0.22882562089537473, 0.9404569493812642]; [0.7498980367140349, -0.3771320153039943, -0.48781709898724923, -0.143936909109057]; [0.5210724158186602, 0.5633249340772699]
DoubleSumOfTwo; [0.8484920757402383, 0.48926388931411546, 0.6458893083451296, 0.2938438070219851, 0.7271664446644905]; [0.7494710720167572, -0.34801153120672934, 0.7945646143108713, -0.8995213819460051, 0.967932532621876]; [1.5979631477569955, 0.14125235810738612, 1.440453922656001, -0.60567757492402, 1.6950989772863665]
DoubleProductOfTwo; [-0.5550958147900118, -0.9746094254541222]; [0.830950578102803, 0.7966239414594953, -0.8053067488326884]; [-0.4612571882022068, -0.776397201888837]
DoubleSumSqrtsOfTwo; [-0.13511542348390404, -0.17575343853675962, -0.0021112113684069733, 0.5568874124143823]; [-0.6936789341732179, -0.2648263171722176, -0.6882577705212805, -0.587592422803755, 0.7047667915630809]; [NaN, NaN, NaN, NaN]
DoubleProductOfTwo; [0.8131805886546868, -0.9153027777782801, 0.06438974285669374, 0.6922087414981712]; [0.0929812957026892, 0.6572444213817381]; [0.0756105847733883, -0.6015776445699833]
DoubleProductOfTwo; [-0.7530371307730286]; [-0.053663214035632345, 0.5753848948871265]; [0.040410392725451494]
DoubleSumOfTwo; [0.6496951405213856]; [0.271724301496183, 0.9224171478317853]; [0.9214194420175685]
DoubleSumOfTwo; [-0.9546355327938261]; [-0.5088250526729639]; [-1.46346058546679]
DoubleSumSqrtsOfTwo; [-0.829139779662921]; [0.6440212019550042, -0.2611477275399008, 0.8041338348457776]; [NaN]
DoubleSumSqrtsOfTwo; []; [0.7915618029986125, -0.3027987313251643, 0.1967016622917157, -0.4131833500597848, -0.5454087868115376]; []
DoubleProductOfTwo; [0.6840344893714705, 0.3337074783755558, 0.5287155074044076, 0.010554663412722487]; []; []
