Operator; Left array; Right array; Expected result
DoubleProductOfTwo; [-0.5638574207558198]; [-0.3311459312882201, -0.6886063488880991, 0.48126977569250284]; [0.18671909070995973]
DoubleProductOfTwo; [0.4464552543320899, 0.5402827354640638, 0.32733999021631455, -0.6861094744229181, -0.7505153347770055, 0.8764814853102145, 0.9664967250559802]; [0.9860071594177617]; [0.4402080771311183]
DoubleProductOfTwo; [0.9910023020556722]; [0.6999113927924983, -0.12992761927787178, -0.07188307159927221, 0.9064523212761444, 0.7409337976396009, -0.06700100455871838, -0.8383745290775002, 0.8889102172211982]; [0.6936138014923576]
DoubleSumSqrtsOfTwo; [0.4232560909589904, 0.8913467083647066, 0.13429179361662036, 0.32497293239895786, -0.1145492989023984, 0.04610846699720139, -0.019062323247272195]; [-0.7398359135227996, 0.16116796917819687, -0.09533478475693635]; [NaN, 1.3455689042042231, NaN]
DoubleProductOfTwo; [0.4033300237498705, 0.6605173189002276, 0.6738644288646811]; [-0.9924290130342486, -0.5724017977443845]; [-0.400276417397164, -0.3780813007797912]
DoubleProductOfTwo; [-0.6954214230437208, 0.7975736769895858]; [0.7571252883965334, -0.07549905667013723, -0.3298542380950449, 0.3934476767221531, 0.675528078569906, 0.9673114685393265, 0.07264319898257177]; [-0.5265211454791048, -0.06021606023764647]
DoubleSumOfTwo; [0.9525015097091243, -0.8057593603832713]; [-0.1459586124818677, -0.7328942065110116, 0.258196211653108]; [0.8065428972272566, -1.538653566894283]
DoubleSumSqrtsOfTwo; [0.8125046516865031, -0.06482185966044995, 0.7433258589079699]; [-0.671801563023311, -0.7382014575597635, 0.26506314774607054, -0.9762055458753773, 0.8028583984500379, 0.17433931761716503, -0.4655084332516459, -0.583353440884735]; [NaN, NaN, 1.3770063136534583]
DoubleSumOfTwo; [0.9186504560634081, -0.3224338897394503, 0.7440667087004118, -0.11910289828194309, 0.7380245118523296, -0.6771307921637473]; [0.6422969340138882, 0.9288346295954244, 0.40281873885603714, 0.8056572062391487, -0.920626185508522, 0.8205154600166151]; [1.5609473900772963, 0.6064007398559741, 1.146885447556449, 0.6865543079572056, -0.1826016736561924, 0.14338466785286785]
DoubleSumSqrtsOfTwo; [0.8365878449200308, 0.04518242594066635, 0.11702565707004298, 0.6978810054104603, 0.5419040488860678, -0.6336266883190611, 0.9867917967199349, -0.23890230897880427]; [0.9218906748821547, 0.7622504052095431]; [1.8748031427896146, 1.0856311120955033]
DoubleSumSqrtsOfTwo; [0.8035174843011139, 0.10729859172239453, -0.09904781955726838]; [0.5143304948969274, 0.31782156152710694, 0.4319822702110312]; [1.6135597545298785, 0.8913212884549447, NaN]
DoubleProductOfTwo; [0.5278670226601172, -0.1902475483675259]; [0.9307425888808349, -0.5640964728991962, 0.7151125534108891]; [0.49130831925549584, 0.10731797101184058]
DoubleSumOfTwo; [-0.5823151613561386]; [-0.30427796576584787, -0.5146308504292045]; [-0.8865931271219865]
DoubleProductOfTwo; [0.30149534181038273, 0.9739053855642184, -0.9024634466754975, 0.8414287625628734]; [0.22086246255322917, 0.9712691089136454, 0.024743837823654857, 0.6035298233143653, -0.2821272398374717, 0.1651104277540918, -0.4583393154936677]; [0.06658900364056869, 0.9459242160031586, -0.022330409166315103, 0.507827352401196]
DoubleSumSqrtsOfTwo; [0.4057838846455406, -0.727489886744433, 0.7764531870750326, -0.18215596470654072, 0.8590691405453474, -0.821775528167205, 0.6122299299836211, 0.8874995972052868, 0.7497723466439106]; [0.5642880632861556, -0.9794596224118453, -0.21180491533466705, -0.9139483728619164, -0.9388403504304019]; [1.3882027796718084, NaN, NaN, NaN, NaN]
DoubleProductOfTwo; [0.4603067666128917]; [0.06770932299538646, 0.22507960418185302, -0.7216499315226534]; [0.031167059537554255]
DoubleProductOfTwo; [-0.6114873949672968, 0.6498001198003454, 0.5198043415153835, 0.7974875496168725, -0.8454617726900362, -0.3858718343341978, -0.8086559207918174, -0.5210161093463239, -0.3600635810447672]; [0.5725271544605861, 0.4632091011125039]; [-0.35009313822914295, 0.3009933293955153]
DoubleSumOfTwo; [-0.4610951040703397, -0.5066824896141549, -0.9867376172049918, 0.38612359921814576, 0.07335242496477279, 0.9838431332007822, -0.7631250662832827]; [0.23729641712800498, 0.49086861825916817, 0.7331551487477121]; [-0.22379868694233473, -0.015813871354986686, -0.2535824684572796]
DoubleSumSqrtsOfTwo; [-0.6783399975509381, 0.8955700851598007, 0.6590752728134937, -0.1156055629109991, -0.06621755100430304]; [-0.8260463385733774, -0.5200348647501667, 0.628292618526687]; [NaN, NaN, 1.6044836251103367]
DoubleProductOfTwo; [0.7364845119015786, -0.2663756549365268, 0.0789643543340639, 0.43014732664061506, -0.34520499521905657, 0.9085601161191681]; [0.8260895269087245, 0.7878210137358181]; [0.608402142012378, -0.20985633850663704]
DoubleProductOfTwo; [-0.6833986451835574, -0.46245570180316053, -0.9967755203834332]; [-0.10027041109370849, -0.3821005357931151, 0.7303610571555672, 0.08974642833974777, 0.23311708171805945, -0.4505102364476379, -0.6124216175243129, 0.3594329941732062]; [0.06852466309343873, 0.1767045714395687, -0.7280060228140349]
DoubleSumOfTwo; [0.6567394044816783, -0.8256595858292495, -0.7516060454102773, -0.23521408540281974, 0.538409011001578, -0.0407080459405218, 0.258597186810847, -0.0693903288375779]; [0.006680524778088559, 0.5417309053836747, 0.1307784789163171, 0.4868861042428707, 0.43728466865353477]; [0.6634199292597669, -0.28392868044557473, -0.6208275664939602, 0.25167201884005097, 0.9756936796551128]
DoubleProductOfTwo; [-0.5486870896182896, -0.888504536547305]; [-0.058309585476677084, 0.14874684245235192]; [0.03199371675204684, -0.13216224431600193]
DoubleSumSqrtsOfTwo; [0.3087691056526143, 0.17518361965565576, 0.8280955279442126, 0.2779548128601179, 0.588282473310666, 0.13217718948468926, 0.9547163776701872]; [0.8552672006176927, 0.15687420889076398]; [1.4804765357904208, 0.8146229124487212]
DoubleSumOfTwo; [0.4682839483133747, -0.7522524887621282, -0.7899164245073749, 0.4936930049082775, 0.1259361454517287, -0.10694834043185408, 0.011624661570506456, -0.25594630189280276, -0.10798248767274843]; [0.2700591260580545, 0.48599893410246864, 0.5775244477521233, -0.42495554324262574, 0.5149416447757968, -0.35053875543232826, -0.8036854252834875]; [0.7383430743714292, -0.2662535546596596, -0.21239197675525157, 0.06873746166565176, 0.6408777902275256, -0.45748709586418235, -0.7920607637129811]
DoubleSumOfTwo; [0.7344582414941245, -0.5412728461306098]; [0.7590953637967657, 0.7796696482892469, -0.6326381510622117, -0.843275104043882, -0.394018078744409, -0.8480690346563993]; [1.4935536052908902, 0.23839680215863712]
DoubleProductOfTwo; [0.6631149809601351, 0.2588338385206388]; [-0.23775844764982912, 0.5263726423209352, -0.29622254850117846, -0.9339895282736583]; [-0.1576611884864277, 0.1362430515041789]
DoubleSumOfTwo; [-0.5578309279993061]; [0.8038806737608308, -0.1815303700640558, 0.27637429051400586, -0.7509944074779764, -0.9050083455828148, 0.19229757197635422, -0.854865959715851]; [0.24604974576152472]
DoubleSumSqrtsOfTwo; [-0.24727888278320687]; [0.8857633722548282, 0.2855672303770347, -0.9342809788391491, 0.5805097451729246, 0.5824002394402192, 0.6365913494121329, -0.574795383022636]; [NaN]
DoubleSumOfTwo; [0.500527048479664, -0.9534875214804954, -0.2985295897150535]; [-0.004676963815098301, 0.8407277682951062, -0.8276616969253863, 0.5268068297366932, 0.09105432767902966, 0.5084895751464407, -0.4407863641100678, -0.7436097042873429]; [0.4958500846645657, -0.11275975318538922, -1.1261912866404398]
DoubleSumSqrtsOfTwo; [-0.7380051966690164, -0.13696278152491104, 0.8970259974097259, -0.2595300466030994, -0.6225955284523199, 0.7415095202410324]; [-0.19065793346886273, 0.8463068474729196, -0.3759629251166581, -0.9491609804515824, 0.5883527798149533]; [NaN, NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.5387206595535969, 0.15655970388940754, 0.5114437491894779, 0.50773143227434, 0.6348909303478627, 0.9235726561341464, -0.6249432205292265, -0.7860457413755231, 0.8236089909075024]; [-0.4620572068623314, 0.23784925026527848, -0.9264134527794698, 0.7825407578742858]; [NaN, 0.8833741702859685, NaN, 1.5971660955978875]
DoubleSumSqrtsOfTwo; [-0.031633331427414424, 0.4313288803221551]; [-0.7065111990523647, -0.7094688253248727]; [NaN, NaN]
DoubleProductOfTwo; [0.29978327768471, 0.8973258738460503, 0.13285268111202608, -0.39965520301447, 0.8434590693873898, 0.9397049432999125]; [0.5904275841040312, -0.7268271642345321]; [0.17700031639817126, -0.6522008202817983]
DoubleProductOfTwo; [-0.5267287304134947, 0.794270304638049, -0.4227463067162196]; [0.8867842375203583, -0.7770815752897722, -0.43033981464435245, 0.7746689782147462, -7.82795965325489E-4, -0.10050989659589127, 0.7858532226269415, -0.8706884873223346, -0.29501290402143665]; [-0.4670947355797972, -0.6172128195340224, 0.1819245672738425]
DoubleSumSqrtsOfTwo; [0.7520312197334587, -0.5267607753717161, 0.25129143318708613, 0.13836329842024586, -0.9205604608606861, -0.4059666256992036, 0.8586599338883936, 0.35834650719077343]; [0.07023733060065207, 0.4091426278108965, 0.8507560109439727, -0.8074436887684682, 0.137462338359017, -0.6625805182764615, -0.40503560464187593, 0.8223159140321041]; [1.1322206003599098, NaN, 1.4236541287845181, NaN, NaN, NaN, NaN, 1.505436865285604]
DoubleSumOfTwo; [-0.4548744015233479, 0.8405680397256705, 0.5758717973622498, 0.15880070817579206, 0.2183867122277141, -0.08420612508238245, -0.3172389475848847, 0.3901934555273865]; [-0.7121986623103445]; [-1.1670730638336924]
DoubleSumSqrtsOfTwo; [0.889618905122517, -0.8991633986302807, 0.4723689591404252, 0.13869702840885423]; [-0.6198907331275483, -0.9764729056044619, -0.20929204944676183, 0.5199385113580208, -0.46890703429758007, -0.7823349717242356, 0.7382181665514875, -0.38795464993971196]; [NaN, NaN, NaN, 1.0934881185778216]
DoubleSumOfTwo; [-0.07922784569395436, -0.14970493279915664, -0.46478046255607874, 0.8628286895163433, -0.0915368897526303, -0.07468263703450129, -0.7415726575836574]; [0.869416387599629, -0.3929755427885586, 0.1801238508843772, 0.7523465769447177, 0.6187398956825407, -0.8451366579967556, -0.6431596781478264]; [0.7901885419056747, -0.5426804755877153, -0.28465661167170153, 1.615175266461061, 0.5272030059299104, -0.9198192950312569, -1.3847323357314838]
DoubleSumOfTwo; [0.8634675859693963, -0.005741965866589149, 0.5102365077863662, 0.3897380254395153, -0.7321676890465627, -0.38510267722996305, -0.3981081995524407, 0.23983377977003983, -0.9448821316747198]; [-0.20710950264046368]; [0.6563580833289326]
DoubleSumSqrtsOfTwo; [0.3439235829230296, -0.14035063783222657, 0.18746275038333704, 0.6803988007693671]; [0.7590438549081906, -0.9144453649894795, 0.9688386909595952, 0.5205061839357406, -0.7467014008818924, -0.8679281987298595, 0.7408494186985206, 0.32637713121374223, -0.05341242030597759]; [1.4576812126092626, NaN, 1.4172657258761772, 1.5463240432975143]
DoubleSumSqrtsOfTwo; [0.8019712481316388, -0.8365836606772592, -0.7169273214286942, -0.11282658270038937, -0.47205698770984394, -0.3561118288646452, -0.30027790365290397, -0.035305923139343776]; [0.9260801988888465, 0.7456902517266812, -0.5645482066013785, -0.6149786980751331, 0.6683648964297786, -0.2622920305192886, -0.6193254588687915, 0.6816351499872295, 0.17079875221371088]; [1.857859082109591, NaN, NaN, NaN, NaN, NaN, NaN, NaN]
DoubleProductOfTwo; [0.838175554257923, -0.20395301482165995, 0.412013086154444, 0.84577560582593, -0.8380791526782652, 0.09460508269068946]; [-0.07613910060438789, 0.4817444050595747]; [-0.06381793284978259, -0.0982532237853672]
DoubleProductOfTwo; [-0.1026059879865504, -0.0017087334714656066, 0.874839274531857, -0.30983460589472855, 0.8199865731089113, -0.09171031858035206, -0.44923027271313654, 0.29921515836039037]; [0.8907253133024393, 0.7992888177024415, 0.45113085849130385, -0.9243511117937384, 0.39450364827849405, 0.9809950306801796, -0.9030167810819067, -0.7793178309560955]; [-0.09139375079602644, -0.0013657715561763333, 0.39466699296146607, 0.2863959624309671, 0.3234876946308456, -0.08996736678942151, 0.4056624748299637, -0.23318370820260406]
DoubleSumSqrtsOfTwo; [0.839591117546648, 0.665922052576168, 0.565291508256951, 0.7127065279197293, -0.32976010554368074, -0.5593140453869869]; [-0.13506174581584474, 0.75910775579314, -0.26321483066973106, 0.4587374198767473, 0.9435530372874974, -0.6285928478106051, 0.4227146991227424, 0.4556671004381967, 0.8506092478609939]; [NaN, 1.6873083736641465, NaN, 1.521521050851323, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.3924010244449603, 0.3457607619427454, 0.5339215592014741]; [0.3810672051608963, -0.8190751786497117, 0.6301454436038314]; [1.2437256193147035, NaN, 1.524516371967715]
DoubleProductOfTwo; [-0.9280277974490672, 0.38517270896229894, 0.5993236545859875, 0.8896893446036627, -0.9163188326352898]; [-0.14615396182497942, 0.950661750038365, -0.7334291764815253, -0.11318749556413676, -0.12457359348132102, -0.9228415142363062, -0.861898338978675]; [0.13563493928089068, 0.36616896156911694, -0.4395614544288989, -0.10070170874578681, 0.11414912975598722]
DoubleSumSqrtsOfTwo; [-0.9646614030455567, 0.6083633610301258, 0.9582905740597178, 0.4339632130175164, -0.8716026376148243, 0.5257763604111327]; [0.8364532809601588, 0.8989245429218939, -0.6705445153476552]; [NaN, 1.7280928260983288, NaN]
DoubleSumOfTwo; [0.3616301212002466]; [0.15002769184224074, 0.09114312567127891, -0.7875604143806896, 0.42460342302738474, -0.631847977375749]; [0.5116578130424874]
DoubleSumOfTwo; [0.42372589359010004, 0.8972975785890196]; [-0.7554446500068086, -0.8015491111430251, -0.8626924491874433, 0.345657538417836, -0.12217776176080908]; [-0.33171875641670856, 0.09574846744599452]
DoubleProductOfTwo; [0.5784266702526937, 0.7339798674713169]; [0.15795280896845854, -0.3785936597159252, -0.6368269100598773, -0.89201470730275, 0.24658714000456383]; [0.09136411734868528, -0.2778801241837756]
DoubleSumOfTwo; [-0.6275547475599845, -0.31347857810861623, 0.376165242812009, -0.6445851079351312, 0.41817957199766376, -0.400314626602841, -0.7587683573673167, -0.44598434631598494, -0.9470359872017828]; [-0.2190778447723145, -0.3864906042803087, -0.44405437058701147]; [-0.846632592332299, -0.6999691823889249, -0.06788912777500244]
DoubleProductOfTwo; [-0.9073044668091963, 0.8616810471165364]; [0.17187439384868886, 0.9933502966651835]; [-0.15594240526903844, 0.8559511237839773]
DoubleSumOfTwo; [-0.9066396768429807, -0.7708362090003544, -0.43780994694445274, 0.6260278197660292, 0.8792292807345874, -0.9578258559081674, 0.011624587243945994, 0.8712336365755144, 0.8475598056607874]; [-0.36341247576404956, 0.2798075454652291, -0.9887784566890023, -0.5595098582327291]; [-1.2700521526070303, -0.4910286635351253, -1.426588403633455, 0.06651796153330003]
DoubleSumOfTwo; [0.49872388426009984, -0.9271361959324413, -0.0312811491954732, -0.8388596657692411, 0.5493610385816019, 0.3139404681178859, 0.6362362572561862, -0.44023788320446466]; [0.6080783855494523, -0.006079306686212371, -0.596683140616521, 0.7271079624755576, -0.40292627627106103]; [1.106802269809552, -0.9332155026186537, -0.6279642898119941, -0.11175170329368345, 0.14643476231054087]
DoubleSumSqrtsOfTwo; [0.718596323069528]; [0.7465311791585185, -0.9939818080999909, 0.2955497819912669, 0.5236493098491413, -0.4697717861745865, -0.1314474709624287]; [1.7117209674060159]
DoubleSumSqrtsOfTwo; [-0.7297803017154005, -0.9536295170455473]; [-0.9882434091793637, -0.7951792979320713, -0.01556666856454525, 0.7231216679276757, 0.4530716185215309]; [NaN, NaN]
DoubleSumSqrtsOfTwo; [-0.36900424332437876, 0.027881030621073943, -0.6758743391315531, 0.7113482858056714]; [0.847820133544992, 0.9107825664160467, 0.8422470712125503, -0.7855772729225554, 0.5672444304163573, -0.06907650189254855, 0.5200041681650431, -0.6774118638737012, -0.9263344645905971]; [NaN, 1.1213254274038282, NaN, NaN]
DoubleSumOfTwo; [0.24885403928103433, 0.6291308474771049, -0.763525669773949, 0.09756038329003736]; [-0.5039821713890251, 0.5095859347900951]; [-0.2551281321079908, 1.1387167822672]
DoubleSumOfTwo; [0.3314425690223397]; [-0.6468620999199617]; [-0.315419530897622]
DoubleProductOfTwo; [0.9925329551744839, -0.67001553204178, 0.08213159260172365, -0.17203876901120618, 0.9657982729256827, -0.9509955602345086, 0.5864923019125403, -0.2886796762883306]; [0.038053199281383954, 0.13740037988980092]; [0.03776905433659556, -0.09206038863460765]
DoubleSumOfTwo; [0.10685400635553233, 0.7094624663759559, -0.30952829466050047]; [-0.2371669354887178, 0.01626502212666514, -0.5803835298980613, 0.41332336484762755, -0.6551967807352372]; [-0.13031292913318548, 0.725727488502621, -0.8899118245585618]
DoubleSumSqrtsOfTwo; [-0.9284428026444445, 0.42107546613214164, -0.1838107648935019, -0.3454454022376803]; [-0.9697159534208537, 0.7904300612782602, 0.0991719754612046, 0.9648905684405849, 0.286886684085657, -0.140627905027507]; [NaN, 1.5379646166750407, NaN, NaN]
DoubleSumOfTwo; [0.9754931535066698]; [-0.8525739081556953, -0.5758545920503475, -0.7926817256049885, 0.38782432767087327, 0.06987520875887143, 0.3591761140391907]; [0.12291924535097443]
DoubleSumOfTwo; [0.117429491145288, -0.8248487560365942, 0.16355196297811236, -0.8910642978227636, -0.9765688726407462]; [-0.7760771489726417, 0.6113418688812169, -0.8915972815290669, -0.16403265712712134, -0.4233081687560054]; [-0.6586476578273537, -0.21350688715537736, -0.7280453185509546, -1.055096954949885, -1.3998770413967516]
DoubleSumOfTwo; [0.2489773118598717, -0.5146970796839903, -0.5389503714927786, -0.5265957986151077]; [-0.022469387273091, 0.7284522867862913, -0.690510086758163, -0.6350490733389194, -0.7473855087038763, 0.7824937171460957, -0.8549653315583132, 0.5655452676702084]; [0.2265079245867807, 0.213755207102301, -1.2294604582509416, -1.161644871954027]
DoubleProductOfTwo; [-0.9541405644189114]; [-0.2399937922840103, 0.23024543612764692, -0.600054841775225, -0.4331850879573105, -0.8173314501737383, 0.40300004030005154, 0.453490637404546]; [0.22898781242690056]
DoubleSumSqrtsOfTwo; [0.9884987636018674]; [-0.05363692772962314]; [NaN]
DoubleSumOfTwo; [0.4528153045735952, -0.15261817223779395, -0.5626007224606457, 0.050807647243664045, 0.9650214324528219]; [-0.6614262243084135, 0.5888100527659941, 0.5425073409180765]; [-0.20861091973481827, 0.4361918805282001, -0.020093381542569233]
DoubleSumOfTwo; [-0.33785392345944865, -0.5168804097609023]; [-0.649042074235394, 0.09052056955045429, -0.80430615887084, -0.896254985700158, 0.32646122718504755, -0.8522624449180412, 0.32783566146484766]; [-0.9868959976948426, -0.42635984021044804]
DoubleSumOfTwo; [0.8668917082477805, 0.0072342751874416855, -0.2539285904281552, -0.5086497546530293]; [0.9014183820349977, -0.01096853424386035, 0.632166789112254, 0.8274876215117786, 0.0806042593091294]; [1.7683100902827782, -0.003734259056418665, 0.3782381986840988, 0.31883786685874926]
DoubleSumSqrtsOfTwo; [0.884403962011316, -0.3290677385350651]; [0.9752541853593111, -0.15895056574242283, -0.9320823848568949, 0.22740742049843066, 0.12194481685148184]; [1.9279771284165257, NaN]
DoubleProductOfTwo; [0.22652257515617746, 0.9050617865187283, -0.4168223807395002]; [-0.8764220007901831]; [-0.19852936854252168]
DoubleSumOfTwo; [0.22175791578193116]; [-0.30364533645364444]; [-0.08188742067171328]
DoubleProductOfTwo; [-0.6482468918052442, -0.13478431190521123, 0.38065723266445906, -0.7892707207710516, 0.32803201774266366, 0.4549799993588608]; [-0.7446942092146467, 0.3873636708444659, -0.7598296898590962, 0.33190525458199494, 0.19666321832353884, 0.5526951387878205, 0.467883772013751, 0.9165927761068138, -0.27525470647281214]; [0.482745706468759, -0.05221054583184807, -0.2892346670380577, -0.26196309951163055, 0.06451183232243643, 0.2514652338913281]
DoubleSumOfTwo; [-0.6705619750562561, -0.050587934060248196, -0.9550361316576037, 0.8555640776530951, 0.30700136720331206, -0.7799236019576603, -0.9007651184039982, 0.5240476378148595, 0.49778220968039477]; [0.8085658840354117, -0.5134346893207753]; [0.1380039089791556, -0.5640226233810235]
DoubleProductOfTwo; [-0.44338611830352503, 0.6213872500376167, 0.06279153911729018, -0.08534083109750301, 0.524025861824958]; [0.33891444584985075, 0.8853490703012497]; [-0.15026996058235556, 0.5501446241178541]
DoubleProductOfTwo; [-0.22507229666849748, -0.7553908352782033, -0.2979960077316848, -0.1706650343953917, 0.8676489820168878, -0.29013542291764094, -0.7135537864838564]; [0.5384638291192554, -0.31011101491977966, -0.23103608141674492]; [-0.12119329069278419, 0.2342550185892237, 0.06884782990416247]
DoubleSumOfTwo; [0.7477121723305693, 0.6111381169242518, -0.44422370921096377, 0.03556781832784828]; [0.8658508963444003, -0.37367638878463283, 0.9300502916399112, -0.8301406640632909]; [1.6135630686749696, 0.23746172813961897, 0.4858265824289474, -0.7945728457354426]
DoubleProductOfTwo; [-0.46022510044134735, 0.28978843697495194, -0.4703671078698395, 0.9406391190829009, -0.3539655183964676, 0.44246511059352045, -0.015701651046908793]; [0.28678167088427187, 0.1947588524399606]; [-0.13198412328745143, 0.05643886343561149]
DoubleProductOfTwo; [0.018400182162614298, 0.14634804139034796, 0.9743051437525352, -0.2044797563421834, -0.05204358374245155, -0.49947878389355993, 0.3847600731547527]; [-0.9115441406176208, -0.5273613000593678]; [-0.016772578236627925, -0.07717829336875606]
DoubleProductOfTwo; [0.5492045739780007, -0.5274041463145223, 0.5010600912746976, 0.3711152293253819, 0.5343281452594848, -0.006383025366870632, -0.5413625174697767, -0.8082894724300671]; [0.40616615098241104, 0.7335934768057168, -0.9935142864384379, -0.2551509331650108, 0.5605872838570503, -0.34445584905539617, -0.30554477837386207, -0.17036833174284616, 0.5401283594182276]; [0.22306830791457938, -0.3869002413766214, -0.49781035904555976, -0.09469039707411817, 0.29953756363939, 0.002198670422287555, 0.16541049042021896, 0.13770692898321577]
DoubleSumSqrtsOfTwo; [-0.36383666725951413, 0.5296108190508286, 0.45192994723619595, 0.6305931041033315]; [-0.22368405087835286, 0.8202984259251422, 0.6370869755240567, -0.9162944293038873, 0.1474779634948875, 0.8149980348797781, 0.3485162090247156, -0.4423238326182415, -0.7245470022253118]; [NaN, 1.6334469262446767, 1.4704346352064745, NaN]
DoubleProductOfTwo; [-0.8180769174988238, -0.005807488771738534, -0.7086332799279798]; [0.6646484411620679, -0.4195974198516712]; [-0.5437335479662628, 0.00243680730443904]
DoubleProductOfTwo; [-0.4637661467955916, -0.48593213144226866, -0.7693514386528986, 0.8426633752372323, -0.6855260279988238, -0.35826780619853693, 0.6357738705854763, -0.3852951948137704, 0.3531301057375813]; [-0.07816751527366406]; [0.03625144736305273]
DoubleProductOfTwo; [0.21177012471825196]; [0.697538810310405, 0.14037336244759158, -0.6371557136033794, -0.5942768776251108, 0.7851450668185402, 0.6538112181403151]; [0.14771788085525556]
DoubleProductOfTwo; [-0.9793208415590495, 0.4997485634503491]; [-0.18693058658945483]; [0.1830650193719117]
DoubleSumOfTwo; [0.7505964585298541, -0.9867763915722481, 0.7319597098846125, 0.7116723608086171, 0.9490778431325657, 0.9954662442929887, 0.8856676200533138, -0.9993886972344643, -0.9003863879898886]; [0.2515246076213391, 0.9157237412474071, 0.3662199878523831, 0.4753693329477693, -0.9537894256271202, 0.2453659074529655, -0.8689746928753501, -0.5903735755276114, -0.5723982954720819]; [1.0021210661511932, -0.07105265032484098, 1.0981796977369955, 1.1870416937563864, -0.0047115824945545, 1.2408321517459542, 0.016692927177963668, -1.5897622727620757, -1.4727846834619704]
DoubleSumOfTwo; [0.993882649834096, -0.6452795955400061, -0.23566918124765746, -0.7165860328255971, 0.5848644729611157, -0.8015087245002872]; [0.23531270768753587, 0.12779933962247303, -0.06323701979649154, 0.13967180494178177]; [1.229195357521632, -0.5174802559175331, -0.298906201044149, -0.5769142278838153]
DoubleProductOfTwo; [-0.21718571533064557, 0.831519878199185, 0.7519316521945538]; [-0.35871977372511377, 0.3216620949300282, 0.3072781930695696, 0.29727676575554063, 0.9610689583636196, 0.21362700311844218, 0.023312174096771665, 0.509098201538033, 0.9272967887697052]; [0.07790881065973615, 0.26746842599751175, 0.23105219939815858]
DoubleSumSqrtsOfTwo; [-0.9247846690427239, 0.14218981603365966, 0.2566539257858067, -0.28648904900328453, -0.05266048645827226]; [-0.9319311459087267, -0.836564592826287, -0.08779476774440553, 0.9690190837197794, -0.7654873946810126, 0.5120935476024009, -0.46270216341366255, -0.6445344275453511]; [NaN, NaN, NaN, NaN, NaN]
DoubleSumSqrtsOfTwo; [0.07628337108225192, -0.551591898710271, 0.9779504477257266, -0.2983908285976673, 0.30236125591140084, 0.9516470758274953, -0.61867051428559, 0.4153266890251379]; [-0.17623453279998436, -0.14688458239920976, -0.5405128672850292]; [NaN, NaN, NaN]
DoubleSumOfTwo; [0.43033465881222677]; [0.9885825487006901]; [1.4189172075129168]
DoubleProductOfTwo; [0.5616449185386241, -0.7043815273322904, -0.7430860725601989, -0.8620652724540496, -0.9057682020612339, -0.6324703677454457, 0.8993352249763316, -0.07955055595701266]; [0.5119797456921185, 0.7112294715227347, 0.20205891970828005, -0.7108812182007784, 0.9259607989240997, -0.08486534192193251, 0.7824842410618473]; [0.28755082256267533, -0.5009769014349217, -0.15014716907178238, 0.6128260110507208, -0.8387058480206655, 0.05367481401420765, 0.7037156409757905]
DoubleSumSqrtsOfTwo; [-0.3467333188314443, 0.8645588388497334, 0.4654585346785809]; [0.8662273811120538, 0.26966898489143776, -0.016686251459991475, -0.14407070554004875, -0.9383895179767516]; [NaN, 1.4491131870848823, NaN]
DoubleSumOfTwo; [-0.3693001906089841]; [-0.1497624393431285]; [-0.5190626299521126]
DoubleProductOfTwo; [-0.16993648144516071, 0.3932467590244817, 0.3437060875759024, -0.14597340861813946, -0.8582024590167818, -0.23968975946204707, 0.7946402103734103, -0.8404527283310759]; [0.3003589551800432, -0.6067186777904945, 0.7503080277384675, -0.9255735491369652, -0.09216325736489761]; [-0.05104194401384127, -0.23859015368073075, 0.2578854366907803, 0.1351091258943118, 0.07909473410155166]
DoubleSumOfTwo; [0.8536631987669201, -0.02258084500575941, -0.8074709075781212, 0.4029880499979943, 0.654366574645548, -0.057047154985068405]; [-0.755438797553819, -0.7076023805366147, -0.32583627780542335, 0.7091826047026923, 0.7129870618611363, 0.28018327177466884, 0.19781580924371278, 0.24802892406780597]; [0.09822440121310105, -0.7301832255423741, -1.1333071853835446, 1.1121706547006867, 1.3673536365066843, 0.22313611678960044]
DoubleSumSqrtsOfTwo; [-0.04209583267353412, -0.8999805898951325, 0.6341807075668582, -0.42676015439033743, -0.14752753744628966, -0.6916707568868474, 0.7478113560590711]; [0.3252249283374593, -0.259053628730463, -0.1849269781451326, -0.4147417100683024, -0.2578018132555493, -0.09068747892895113, 0.5086395911744039, 0.18549269961421344]; [NaN, NaN, NaN, NaN, NaN, NaN, 1.5779505965393312]
DoubleSumSqrtsOfTwo; [-0.687387550815671]; [0.6979891187807241, 0.9739249383855946, -0.36543036817008656, -0.17230362140994893, -0.11200517816602473, 0.007760856163687713, 0.05785424345126522]; [NaN]
DoubleSumSqrtsOfTwo; [-0.9607667296987876, -0.9435505683836696, 0.4034340774277039, -0.26116325960923636, 0.6765489982280661]; [0.22422146237085339, 0.306115191686277, -0.2882347309394211, -0.8119958319958014, 0.30799019284270956]; [NaN, NaN, NaN, NaN, 1.3774946276689937]
