First operator; Second operator; Init; Left array; Right array; Expected result
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.04751824145055372, 0.19669227771204345, -0.5812214569955088, 0.6643920470364955, -0.2976544546304487, 0.7402611242168919, 0.19561660433486927, 0.29641744378421553]; [0.8279851651426942, 0.186696914013746, -0.9898179526240753, 0.7070876472993011, -1.258058671729234E-4, -0.6821776678066698, -0.4757591661092375, 0.6491957509778779, -0.5330013452142208]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.29921499408038743, -0.08830149748600968, -0.057871045403963484, 0.510462028504526, 0.14808221709281133, -0.3006947312579513, -0.17373090578593442, 0.7957002987554604, 0.24583228229214082]; [-0.5148063139978805]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.7407731484845075, -0.9678744164883575, 0.17862562776336754, -0.9585867730378477]; [-0.54673895431285, 0.46687013732180827, -0.5671970613382609, 0.4257670819652035]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.020294959472741292, -0.7353056160213189]; [-0.8739751365981157, -0.84010334983595, -0.9449205162585024]; 14.088411272480693
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.6640121381904289, -0.31048763940583934, 0.27470088357339617]; [-0.949905108513325, 0.9493773419507798, -0.5796472678388, -0.9191836056990736, -0.8233917506722015, 0.7436673028868273, 0.024781814282780257, 0.8910272628269704]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.41593630448885865]; [0.8985878757621308, 0.6893689793114999, -0.39688818012338944, 0.5215867264874963, 0.3500165725495987, 0.4455466591897197, 0.04577601844580692]; 9.626244679697006
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.1251181287488472, -0.29490945111066624, -0.3660583266923816, -0.7030375184319264, -0.41375931948456923, -0.9591634563863662, -0.8715181794200626]; [-0.1970343261880083, -0.5308823048980653, -0.5804688002851202, 0.6462665462735959, 0.05842400945711912, -0.23577361640078198, 0.9638699384314966, 0.9477056744409298, 0.8514000612832964]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.9023367582958928, -0.01458626713056943, -0.9775532435753818, 0.6344012053909658, -0.6005491301528405, -0.37732608418003033]; [0.46012621674261633, 0.4513332115062767]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.06318353104090346, 0.7205852303537021]; [-0.8790043035913455, -0.9679798364532122, 0.7633307518345529, 0.27100818148108763, 0.949990803640506]; NaN
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.16006468835488885, -0.3458610660225432, -0.36570719357163584, 0.318824435919407, -0.7735373377626653]; [0.4330515912140147, -0.025174270035088986]; 2.0676046035856523
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [-0.36579727637089654, 5.283520361365479E-4, 0.7304778571189399]; [-0.13112606102143487, 0.11627795738249791, 0.08132477014314343, 0.04739134330444994, -0.11907138974296383, -0.37003308357121933, 0.23693667608748537, 0.7923346785010714]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.9448567009898545, 0.24278104290960423]; [0.8955624222701479, 0.91666922745435, 0.7313513529429998, -0.2136727795554394, 0.4215430494645911, -0.5933233990689908, -0.12946181648682398]; 9.376371755207852
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.1146573901771788, 0.49108637075419237, 0.4633834387859219, -0.8374657724848451, -0.018842461914159836, -0.12341487178276322]; [0.5857462592146492, 0.589085409437113, 0.4966838734069168, -0.7449308384968725, 0.9700997534703117, 0.8283490124776582, -0.014829998859918092, 0.27547096759744916]; NaN
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.35146330318105257, 0.912251788914366, 0.7189427075407355, 0.05102634808290318, -0.38884652543505616, 0.8860402365766924, 0.49450197414653285, -0.5127290158034752]; [0.791861132923261, 0.8697411775870236, -0.6994659274626374, 0.41273490676271396, -0.7552726482914738]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.8841433668175054, -0.5665553945660289, 0.34857823891416073, 0.09757988865964173, -0.9206999775415641, 0.3317114939473007, 0.9350506021896214, -0.058131556754614566, -0.4085564576546794]; [-0.8711242378536606, 0.5267989727693287, -0.797452912788829, -0.8454055243697967, 0.466002402582812, -0.7243122406539735, -0.2709948615356319]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.1939635658401715, 0.45795909034478877, 0.138936825129244, -0.6421604885305667, -0.4497791039618553, -0.12612298119411736]; [-0.3179768534430685, -0.479471573888937, -0.31644560239336017, 0.5706728560738559]; 0.00139752864268231
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.28993226403471484, 0.10383024882138003, 0.6329132674837914, -0.990472805510735, 0.4569869334620469, -0.28200129863561707]; [-0.37637980203001176, -0.7112703024673119, 0.19462040487848298, -0.7123304485298407, -0.7319913452795981]; NaN
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.45768198455315146]; [0.278102860853354]; -1.2728266926527199
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.45254116925614474, 0.2535905671392251, -0.21754904085979554, -0.9526304929259357, -0.350264622052606, -0.2897653717786022, 0.30447524280109506, 0.783740541589701]; [-0.05300783509519791, -0.4513476067859574, -0.37284271102193456, -0.6965375243944913, -0.29438385147038737, 0.0878799731053117, -0.3934299301195565]; 10.564066738020765
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.6593578960051554, -0.0256408345800907, -0.37266588605465323, 0.840638678662025]; [0.5362842680432005, -0.8498114770569805, 0.26941197209521195, -0.22763520534493953, 0.406785724421485, -0.11084349907591129, 0.261494266510532, 0.003265910247597814]; NaN
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.4656227194036242, -0.48964820570384293, -0.5983975726471087]; [0.24458051177481233]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.4036484541028047]; [-0.7918203561427959, 0.63985064368859]; NaN
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.06230591866836166, 0.8024273306654155, -0.7270173536022011, -0.09177510849808979, 0.1131512437817006, -0.4880686808922676, -0.78271945405449, -0.5758887808277431, -0.07799578849543565]; [0.13024309922613586, -0.7853282359084988, -0.7616141759772492, -0.5824751145962634, 0.30480839816686434, 0.5807064400644861, -0.3632289181558197, 0.4209960648188078, 0.3937909799568797]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.15980525400260515, -0.8464482589971813, -0.9254247536079498, -0.36723688949499333]; [0.4295645018723173, -0.5803642480072375, -0.20139076547486856]; 9.475618628583986
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.7476519058674984, -0.10644666609540376, 0.842335595965191, -0.21631340501167262]; [0.6740737909763035]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.9059750119601453, 0.20213581964924, 0.25162122823160993, 0.9058361185506281]; [0.45632875636229575, 0.6521041468344615, 0.7605734824670909, 0.565011352504232]; 47.87214161484027
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.3605242438772356, 0.31849290549262577, -0.31696741937823547, 0.5763983725898982, -0.4537226794493414, -0.273530915172415, -0.3486012739451201]; [-0.4761890209880131, -0.8677605448703039, 0.6128015715796866, -0.7555803011444544, 0.8782820219040253, 0.2563633402380079, -0.6622752616894811, -0.5212484590907029, -0.11751882961382698]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.5296675129432789, -0.9289117298686478]; [-0.22657078720649504, -0.25991082894526985, -0.12738789109190662, 0.20329406942611272, 0.971048474942561, -0.059488081253445735, -0.2470777825095829, 0.01941054202241599, 0.7279760405192464]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.0434580916397771, 0.960072304515611, 0.5752467153072072, -0.8730801624728892, 0.054544965035752124, 0.4699596547545031, -0.0729414782186042, -0.2812913016119811, -0.3577621335191563]; [0.4630603301460885, 0.39194988270955444, -0.633856037056487, 0.8780683473353124, 0.8816264388696307, 0.35392206505554924]; NaN
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.7586966640803514, 0.9262185457936456, -0.9537501838031666, -0.7190836007785122, -0.8813083431184885, 0.1651978769976501]; [-0.2006177939407663, -0.918915592041502, -0.289850824602522, -0.40652021701934027, -0.5968321219815012]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.7019110130070163]; [-0.7965562818025638, -0.9473919032730018, -0.008789427230085911]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.9637070302611226, 0.39498857992737246, 0.795419613835193, 0.7586613993374476, -0.9806219329524661, -0.1518563094762888]; [-0.7663248668185458, -0.7277187640005127]; 9.864651979369436
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.5452661401048637, 0.3620732526267305, -0.6814732210691825, -0.7081045430608905, 0.7932532640653942, 0.7021485124162654]; [0.9388939833280843, 0.3169254840363418, 0.9722046028319051, 0.021399924808002346, 0.9669587745255557, 0.7064465459849054]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.07722123248422363, 0.6935393547460356, 0.13663260241970132, 0.668487482684752, 0.2480614750472323]; [0.38158716993710895, 0.8099876459468507, -0.32594717424894126, 0.013482339766123008, 0.0821557461540352, -0.13171453306427638]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.9236143949547828]; [0.36614128267582613, -0.386043134855961]; 15.661446851134336
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.45837700518772695, -0.6214157313207103, -0.4869094620135632, -0.43988560389232423, -0.8681108557314972, -0.43245288185385733]; [-0.640213827294535, -0.9726182268467616, -0.9662482944651123, 0.8867951262428053, 0.31092498763166443, -0.24862351306993746]; -0.009446791460075321
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.7717378002291753, -0.5630251397826074, 0.8093127644540092, -0.9445374273040203, 0.9950234016394186, 0.572420804756038]; [0.18435815345202378]; 9.412620353222849
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.9619248890434358]; [-0.016268071757516323, -0.7129846755312896, -0.1553230358379074, 0.3575964212199332, 0.48593445603096286, 0.32018217557915496, 0.6246825372089582, -0.46788539113751604, 0.7635107918146005]; NaN
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.4388836797261302, -0.8170717441742936, -0.36450076943128806, 0.36778206448037, -0.26374012521821033, -0.24964130355439074, -0.35724188270620494, -0.31021582785892643, 0.9848122489682327]; [-0.7604828954013645, 0.2667452146615763, 0.6013859701825162, 0.09180005209508946, -0.24885285374577593, -0.07349108701934481]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.9785734960475689, 0.5267838998681114, 0.8525170601850351, 0.3568851298868445, -0.8576383459345407]; [0.2260157782454233, 0.6521864206394903, 0.736105459987779, 0.8094351653556999, 0.9256413235113239]; NaN
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.34117565281408146, -0.6882940821269907, -0.9862383887615938, -0.8645550106464386]; [0.6870802033761481, 0.42103743845487207, 0.6420598417711281, -0.9628653069756556, -0.33860214397680566, 0.5311950637985778, -0.2798524305398673, 0.4759284771380896, 0.06905525361691511]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.5358017490458904]; [-0.6061669609061251, -0.08852953048049494, 0.02660129322489846, 0.32677090468967807, -0.33284453012121107, 0.7038700702055734]; 10.324785317867335
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.5507463231010024, -0.16991566272755798, 0.3924203964478383]; [-0.5670765254380861, -0.3492894611942905]; 2.4043586750336177
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.33665736699987825]; [0.750616438453765, -0.9166585130138873, 0.8512210134854892, -0.6238941785009009, -0.48256008900884484, -0.12392475011591841, 0.534648580474004, -0.17223872537355]; 3.805674172013048
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.7792959110372517]; [0.28559440792815516, -0.6293464394205228, -0.3214307323433787, -0.5547167329919782, 0.3552406000363211, -0.49398965775735926]; 2.2256255431351617
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [-0.3747746580508273, -0.10468685785162712, 0.8075423518193356, 0.4294664450506398, 0.12489621838960052, -0.5888504021739402, 0.6436451747858827]; [0.32744023911072784, 0.2052028135817512, -0.34369583061163933, 0.9357746207251469, -0.1267539132704223, -0.3763606788704179, 0.40235305750061623, -0.6610833424948575]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.7304246412831095, 0.1184321430407409, -0.05660967058080679, 0.4826651815342742, 0.7011484049968839, -0.2161408648949772, 0.1969677920298274]; [-0.1485481945858047, -0.5864382035272344, -0.29343496419659276, -0.6409850644818256, -0.9788612364964426, 0.7173062746117473]; NaN
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.08457656148407855, -0.838127910626812, 0.19222207183094486, 0.5443720941074357, 0.4260133244372022, -0.7212893850377755, -0.15534363076083824, -0.10719210356852038, 0.7017919653292386]; [0.2242546274851993, -0.9634200182117623, -0.1962893909619472, -0.7924376912616138, 0.220859841748557, -0.6210167019292148]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.7273090972284417]; [-0.10315075961908815, 0.9306447337472907, -0.9593706362998393, 0.5118445552505579, 0.45331323329089, -0.3014889712049429, 0.2723020133659342, -0.600657836971088, -0.10265255613721336]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.00753003694558485, 0.8867211465010518, 0.8752589133820241, 0.7725176121094064, -0.782687001750896, 0.8902318053516831, -0.0056169868136812795, -0.4574776237883844]; [-0.6623766493281076, 0.034637899445154385, -0.10674882128854768, 0.05786513400465476, 0.5836299705307304, 0.4423185793687525]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.5997399603633087, 0.9924446779958691, 0.7658412603246776]; [0.6550293157287772, -0.036620597603004956, -0.9962111730897172, 0.18689960761680147, -0.5334432639735194, 0.5553261467571371, -0.9633312947347472, -0.35094242120927466]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.27833897263864893, 0.72482508357758]; [-0.33165124712664706, 0.42029698134900406, -0.10149437618266877, 0.6493784994114999, 0.6847421537318328, -0.43630685539354985, 0.7390395633948561, -0.8212668371391014, 0.18025759902349403]; -6.9851326004265655
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.09623345966366981, -0.5484365007650018, 0.5481849522225855, -0.6098617488976239, -0.914794380582103]; [-0.9180242653701254, -0.3754071645158985, -0.807389654806506, 0.6734846333104654, -0.4650389869812541, 0.24888362684865206]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [0.7591733874133881, 0.053540713834892006, -0.5763510262143126, -0.5482798915341782, 0.18488046453558682]; [-0.9981843391174421]; -2.3901095170405395
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.43603696385295265, 0.8443951687879492, -0.9035275353755443, -0.7613918144259915, 0.22873504836311742, -0.675094016051361, 0.2147452401375589, -0.9881768232365924, -0.006641140314860294]; [0.38955194573544727, 0.6385449992341454, -0.18015552888052055, 0.7881600775188886, 0.8032919232075064, 0.2213026986864115, 0.7503997405524456, 0.48725062566009725]; 9.985716095986588
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.8425144123947457, -0.17296659019211758, -0.40607510753463116, 0.7720425698256306, 0.9315354155408064]; [0.4812426994802217, 0.8840773646981863]; 0.6200032818983761
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.9742899541299095]; [-0.9246640356184195, -0.5268025380447883, -0.6753121186865783, 0.7773867857653272, -0.15767217193980043, -0.6804654244721913]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.6815807037066293, 0.7923381870804538, 0.6283440795629245, 0.1651958109075471]; [-0.8506667466809266]; 9.830913957025702
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.847089663370977, -0.09067208806110139, -0.3238062690735992, 0.44718639282221706, 0.4626644068703083, -0.9786089336084871, 0.7697283311117513, -0.5450422354784243, 0.436823046242343]; [-0.5104278274409486, 0.6306901127975473, 0.06895034153112523, 0.7157274749888332, -0.11295380323366189, 0.37960123097309273, -0.8605100025481123, -0.19364465520196972]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.7944256728329617, -0.5144392615459463, -0.154134341045417]; [0.8671770539794292, -0.670814193090234, 0.5587775245758353, 0.6710869000834547, -0.6881265687833884, -0.07186470329730166, 0.5107884361189683, 0.25801377644122625, 0.27063730753125204]; 10.947874067159306
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [-0.4087535777849116, -0.763524798758288, -0.13994488709571407, -0.4241316822162442, -0.36695216490123617]; [0.9505103060727369, -0.15622868968426507, -0.9261646877368122, 0.13817391083918285, 0.10187594787660426, 0.7573590347464301, 0.011146894313034617, -0.21944384184124965, -0.6063826398050172]; NaN
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.8481350959822958, -0.9953636288139103, 0.441131605740952, -0.1489934883540618]; [0.5937782411106154, -0.3244682008575934, -0.8531652816004311, 0.10980823582942145, 0.8062275638111216, -0.5864505306388643, -0.7459705815552045, 0.1373557516442072, 0.1737768761744063]; 9.670862579037287
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.9338126679495302, 0.512428170184817]; [-0.5473401722536488, 0.7260457671750744, 0.29926474881591925, -0.3290628624504697]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.4222109054298864, -0.3618524720864842, 0.9035105517658435, -0.37524527729009627, 0.9312767953580814, -0.9654841990690519, 0.543785572683886, -0.24655619884843816, -0.3346763036075271]; [0.009491924402563079, 0.16101858451978734, -0.9374129865313048, 0.05208265485128427, 0.9509153991718209, 0.08371826262278126, -0.9829743343495345, 0.9403263379427551]; 0.004592271516958267
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.5653988455599892, 0.6846808255995611, 0.5415733264183573, 0.5323150541415642]; [-0.548272819298075, -0.755719187120983, -0.43451404349319334, 0.2716967156694843, -0.4622025325584922, -0.48862771674001704, -0.3001389969669961]; NaN
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.013212283203185793, 0.49098507774070876, 0.9625947528383965, -0.8374719855504738, 0.5995982597984926, -0.20069885449208158, -0.9168576129094508, -0.09711490601975714]; [-0.31051874949670144, -0.3598233899773673, 0.1268210889010708, 0.029524739580656822, 0.9913000203027607]; 1.3004096901792012E-5
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.372683474432137, -0.23951560617137502, 0.10638441253561748, -0.4884742020406463, -0.18823692213662246, 0.7577034991433667]; [-0.3414529653405385, -0.6383094242658915]; 9.153405478654332
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.2554699473009028, 0.4787932778569228, 0.3167077245446459, -0.3628622593281956, 0.23038035126016565, 0.25908163385415617, 0.4297134198568653]; [0.7100278778494986, 0.22695450393829764, 0.024574694977326894, 0.6874725787741658, -0.8409271774076184, -0.6842167922346141]; NaN
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.4639363990073784, -0.6780765840458582, 0.22448674704343596, 0.4672891633645546]; [-0.09203292093809479, 0.7916388419104348, 0.15515869383077852]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.6415950468350369, -0.29747023716599585, -0.4939626697872792]; [-0.8939333648818006, -0.7280902815935857]; NaN
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [0.30814036914399723, 0.1080601722025889, 0.3474686602363488, -0.3660742901262448, 0.6192023483630427]; [0.10956463955772744, -0.5365776014164834, -0.22463873151263192, -0.931867452618292]; 5.212437468706931E-4
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.7384247573108287, -0.054300018188211174, -0.82607976794425, 0.9643901451008232, 0.941923799017216, -0.8698196139069694, 0.09858561573969205, 0.2156873215439261]; [0.05570160527962642, 0.7763183120357111, 0.7683004653818646, -0.911576203566751, -0.5306641660275198, -0.2436978191221848, 0.8337331232748806, 0.9866557566777641]; 11.466733797984787
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.8369946473784027, 0.29903172536558054, 0.45196256296485626, 0.36367261548411944, -0.17158573896065943, 0.025059151150477188, 0.28056125446947555]; [0.8275231481484546]; 11.664517795526857
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.23013392137594813, -0.38784420911252804, -0.913307303863204, -0.7384043017705479]; [0.16751350242069707, 0.3471791807646263, 0.34848279443425323, 0.3536250582976952, 0.78279985003721, -0.9515666370984652, -0.7799369444024804, 0.3112627187345747, -0.8951007822812447]; 9.40737864254694
DoubleProductOfTwo; DoubleProductOfTwo; 10.0; [-0.11627050693753005, 0.5383258384133156, 0.7396135555917285, 0.5594024771643102, -0.5371296771077931, -0.8314285232264904, -0.3340928521570492, 0.5928016302624488]; [-0.7507032833221046]; 0.8728465131152935
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.08213176464334015, 0.5187379212318612, -0.7772743311046377, -0.1858488924151629, -0.5109135425159199, -0.4959258625432037, 0.9764157338744628, 0.7470276740941244]; [-0.4947910262558721, -0.7324995402326413]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.3574513116641598, 0.1411951234273081, -0.4973395836540788, -0.008074471383606951, 0.5369101574879585, 0.48709286128716456, -0.02596114482239753, 0.1522510677358031]; [0.570307908134535, -0.463582013493554, 0.03477354115816089, 0.033264538442540736, 0.30750712812476566, -0.759864690507396]; -0.0018417224780097475
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [0.09487328554605634]; [-0.18571685107702396, 0.41886074761328196, -0.7827413266633534, -0.9639290584114437]; 9.909156434469033
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.5338429864804033, -0.5483036025700889, -0.622732681032389, -0.1736906942370955, 0.5699922801920081, 0.6864152398124248, -0.7024636125799419, -0.7523446191028411]; [0.40651297475926174]; 11.368229295874626
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.9926454679661227, -0.2518225273363752, 0.4703696173744625, 0.40266166188649355, 0.0636864656950138]; [0.36019853994012996, -0.4250018628947039, 0.04378571819365651, 0.18286837351556695, 0.8489107028036631, 0.8059960081610191, 0.7224353842282829, 0.7633435141914415]; 1.8593179058220006
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [-0.5669769316574149, 0.33453064087524575, -0.5156396215864143]; [0.3032162585632925, -0.8691165840516246]; NaN
DoubleSumSqrtsOfTwo; DoubleProductOfTwo; 10.0; [0.6147546797095889, 0.37104287316239715, -0.8891911539225525, 0.4688375193457448]; [-0.9630209022182679, -0.9998148642867561, -0.8197489573658401, -0.19730335674013078]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.48718392420505197, 0.8478371712963486, 0.93547242396617, -0.06818332527837145, -0.1284950342419553]; [0.3306125326421063, 0.21106602560534138, -0.02369040592353544, -0.4967285993763655, 0.2337086739504508]; 0.08984884130033234
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [0.8013839318198122, 0.5914225023954294, 0.5547135699037111, -0.709787498880426, 0.18461482397429374, 0.5091359089551506, 0.1628487387018982, -0.21056244288831238, 0.6164845968954118]; [-0.8744523401381816, 0.7085931740935594, 0.9768050618935007, 0.6886119726636519, -0.6063745775714249, -0.12290881110029672, -0.29495278233769784]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [-0.3405584349987456, -0.3655742188772819, 0.43144746212735896, -0.6937249497586242, 0.3910668952673304, 0.04589356772056585, -0.9619408652897752, 0.9767212623211008, 0.5631476085771199]; [-0.3331290188609468]; 10.113449897315952
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.22588361374942267, -0.899268353503976]; [-0.014485437581884586, 0.34496139757979116, -0.38138038538009744, 0.8878462017558564, 0.2939480604924538, -0.13959127878364863]; 9.686515108988253
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.05208150385631716]; [-0.5434246813856629, 0.08900461568684381, 0.7741682193651036, 0.0373849592919826, 0.07074293764777173]; 3.330510756315378
DoubleSumSqrtsOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.33434196380227776, 0.7968610206596702, 0.941265439355689, -0.3809658641929645, 0.8819121127806799, 0.5163197142340499, 0.7283637041820887, -0.37435105415335257, -0.5725680883711561]; [-0.8250519461904118, 0.020864488776070278, -0.9102673584067433, 0.7786317459563883, 0.8541338812947943, 0.3293853035388272, -0.7264858013057673, -0.5354517463895934, -0.09853089710641916]; NaN
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.46971796238697716, 0.19385529000145607, -0.08178156390362479]; [-0.27245263635144235, 0.9033623547625396, 0.019172774357882894, 0.15117173802389527]; 10.045577694593572
DoubleSumOfTwo; DoubleSumOfTwo; 10.0; [-0.79737528791058, -0.2869056301811821, -0.16653279885325856, 0.7640369739272652, -0.20055548791602185, -0.8935480962213092, -0.6985467590445102, -0.6058443749843412, 0.35704350497323967]; [-0.1658371661568081, -0.34644556637878066, 0.6014824932416902, 0.8813719072632664, 0.7171788400444341, -0.8932101323780639]; 9.213660048480653
DoubleProductOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.5930534201694102, 0.15207504881290834, -0.40487888394718174, 0.3473467236425758, -0.7771648222400387]; [0.07080077066737633, 0.4405833839785118, 0.02289722875739697, -0.24734564943620208, 0.6649120639665766, -0.8721214322095046, 0.32748496290326967, -0.4116891178158295]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.5485005065982673, -0.5985439222356126, 0.7090709539623166, -0.30465070158969443]; [-0.5298954907635445, 0.9583579574440777, -0.5104044843006226, -0.24762915443602762, -0.291420497108712]; 0.42573577348046093
DoubleSumOfTwo; DoubleSumSqrtsOfTwo; 10.0; [-0.7592785372470992, 0.7596768769749986, -0.6013503788472025, -0.1249729019981698, -0.4715224899293329, -0.7051651755268002, 0.8443525500556273]; [0.5097756385840047, 0.22903428654801816, -0.562608857598458, 0.010661548589510295, -0.7151358680129634, -0.12012367929453815]; NaN
DoubleSumSqrtsOfTwo; DoubleSumOfTwo; 10.0; [0.8979659126103481, 0.3924843816529102, -0.995474446907445, -0.6883501746666811, -0.7472462231261994, -0.8256657536658314, 0.2986729541686648, 0.663445445893939, -0.4524705263337938]; [0.7803464588958544, 0.2924082221085713, 0.49863116614499337, -0.1334016718714146, -0.9977077254436204, -0.3619108224791838, -0.8612730443656988]; NaN
DoubleSumOfTwo; DoubleProductOfTwo; 10.0; [-0.015327398724886754, -0.8751594605443269, 0.21250627323433147, 0.5144558542128592]; [0.29191994453333026]; 2.765925458084435
DoubleProductOfTwo; DoubleSumOfTwo; 10.0; [0.05520818746057765, 0.5102360192828024]; [0.32724383141415037, 0.06719685053936786, -0.6352689423225566, -0.6947468441606293, -0.8789154436399294]; 10.05235279231758
