Predicate; Input array; Output array
IsNotNaN; [-0.62499785237875, 0.5070306040875707, NaN, NaN]; [-0.62499785237875, 0.5070306040875707]
IsNotNaN; [0.8833496115997874, 0.26898102159247417, -0.0601131738528351, -0.6483361156049576, -0.8714539761854361, NaN, NaN, NaN, -0.6912293391043696]; [0.8833496115997874, 0.26898102159247417, -0.0601131738528351, -0.6483361156049576, -0.8714539761854361, -0.6912293391043696]
DivisibleByTwo; [-0.8073038985322847, -0.3341854737873715, 0.6365659176894063, -0.7325566287833853, -0.3370350716165613, -0.7516469912270458, -0.04613927032624665, -0.7728156079756985]; []
DivisibleByTwo; [0.3263254515787468, 0.5223889168980211]; []
IsPositive; [-0.17714834083022635, 0.7461350953730914, -0.7817281599281607, 0.08524892658534133, -0.5907386845726434, 0.10348731215843432]; [0.7461350953730914, 0.08524892658534133, 0.10348731215843432]
IsPositive; [-0.9052368880784454, 0.2886432146912077]; [0.2886432146912077]
IsNotNaN; [-0.6308478958012773, -0.5129149088852762, -0.7338079011825722, NaN, NaN]; [-0.6308478958012773, -0.5129149088852762, -0.7338079011825722]
IsNotNaN; [0.33447854836389235, 0.38071906730159033, -0.7391571536048034, -0.9048812765477396, 0.9698246443548457]; [0.33447854836389235, 0.38071906730159033, -0.7391571536048034, -0.9048812765477396, 0.9698246443548457]
IsPositive; [-0.3603010961201889, -0.12206658042182683, -0.5935842685787907, -0.71745457869084, 0.29706783842301077, -0.4390183379337791]; [0.29706783842301077]
IsPositive; [-0.6754701330289545, 0.609670177364223, 0.9761993197480341, 0.020098891928457485, -0.9375582840074506, -0.7876966505884238, -0.6681226345991249]; [0.609670177364223, 0.9761993197480341, 0.020098891928457485]
IsPositive; [0.6392484419535214, 0.9577186321171933, 0.7776757470608213, 0.8916768456205637, 0.6300581793189404, 0.25710675283680073, -0.7682478774678516]; [0.6392484419535214, 0.9577186321171933, 0.7776757470608213, 0.8916768456205637, 0.6300581793189404, 0.25710675283680073]
IsNotNaN; [NaN, 0.69702503806064, NaN, -0.18661617073233172, 0.9611088656731661]; [0.69702503806064, -0.18661617073233172, 0.9611088656731661]
IsPositive; [-0.5722031911818732]; []
DivisibleByTwo; [0.8055549389758805]; []
IsNotNaN; [NaN, NaN, 0.2569797037704722, 0.6718502922279679, 0.8819362008078375, 0.9192207817391682, -0.700811750029843, NaN, -0.8203021504826127]; [0.2569797037704722, 0.6718502922279679, 0.8819362008078375, 0.9192207817391682, -0.700811750029843, -0.8203021504826127]
IsPositive; [0.5425719234242314, 0.6068173842875637, 0.3798305453892896, -0.9728921883602191, 0.9956395017445105, -0.5197160400210943, -0.4980978915129477, 0.6060064505154164]; [0.5425719234242314, 0.6068173842875637, 0.3798305453892896, 0.9956395017445105, 0.6060064505154164]
IsNotNaN; [NaN, 0.3432498805899642, NaN, NaN, -0.20149100550708599, -0.6073957749000374]; [0.3432498805899642, -0.20149100550708599, -0.6073957749000374]
IsNotNaN; [0.8732250891314766, -0.34344200417926496, 0.8059882125083371, -0.25725175921058785]; [0.8732250891314766, -0.34344200417926496, 0.8059882125083371, -0.25725175921058785]
IsPositive; [0.224804691717561, -0.8822624176624034, -0.3393697585831359, 0.10599242408545795, -0.39761175357219725]; [0.224804691717561, 0.10599242408545795]
IsPositive; [-0.9589238154485078]; []
DivisibleByTwo; [-0.20210884836552334, -0.8143603789600886, -0.6635474811188522, -0.704614138200401, -0.1378120170346533, 0.9055956151981761]; []
DivisibleByTwo; [-0.6525763610988513, 0.7419562259743708]; []
IsPositive; [0.07240508398117407]; [0.07240508398117407]
IsPositive; [0.360111849061983, 0.08601743835418829, -0.8834386575129647, 0.6441270521800375, 0.9395332530760585, -0.47466802662032515]; [0.360111849061983, 0.08601743835418829, 0.6441270521800375, 0.9395332530760585]
DivisibleByTwo; [0.830787070480651, -0.7975028326169693, -0.527312857338893, 0.5028486409886108, -0.71961285916016, -0.573759589991184, 0.42381692206237465, 0.4233898146819248, -0.8981089682282812]; []
DivisibleByTwo; [-0.2174679899917038, 0.19172858883667088]; []
DivisibleByTwo; [-0.6405297064209301, -0.5152976643907645, -0.8559683101905318, 0.38108392046278405, 0.923371852922175]; []
DivisibleByTwo; [0.12444180373505964, -0.6764549158145585]; []
IsNotNaN; [0.5505409699703905, 0.9356597045344099, 0.6943058012343342, -0.8815851426692334, 0.3897060773272929, -0.12224937203262654, 0.8147245055467265, 0.32588374953138555, 0.5366290807545184]; [0.5505409699703905, 0.9356597045344099, 0.6943058012343342, -0.8815851426692334, 0.3897060773272929, -0.12224937203262654, 0.8147245055467265, 0.32588374953138555, 0.5366290807545184]
IsNotNaN; [0.3915340822062472, 0.4176228906293742, -0.627687055742395, NaN, NaN, 0.1300995780451848, 0.6932796651350108]; [0.3915340822062472, 0.4176228906293742, -0.627687055742395, 0.1300995780451848, 0.6932796651350108]
IsPositive; [-0.4063245051221587, 0.5387089820375366, -0.15664255019712137, -0.19178110625894917, 0.5329652600387045, -0.9533818269255161, 0.9862334645579456, -0.8475862744065137, -0.23719914937602793]; [0.5387089820375366, 0.5329652600387045, 0.9862334645579456]
IsNotNaN; [-0.7014098843669143, 0.1886915647736378, NaN, -0.478482815808148, 0.6142738871006348, 0.9991583313595684, NaN, NaN]; [-0.7014098843669143, 0.1886915647736378, -0.478482815808148, 0.6142738871006348, 0.9991583313595684]
IsNotNaN; [-0.36313824797466143, 0.11059586593150361, -0.8615260186546936, NaN, NaN, NaN]; [-0.36313824797466143, 0.11059586593150361, -0.8615260186546936]
IsPositive; [0.7357096615681065, -0.776002668255074, 0.2632337567664198, 0.5318124475811954, -0.33157732665244977, 0.6799463274756046, -0.041950118727237085]; [0.7357096615681065, 0.2632337567664198, 0.5318124475811954, 0.6799463274756046]
DivisibleByTwo; [-3.873240683738288E-8, -0.9377788891622929, 0.8380422503313862, -0.11448993301391663, -0.2669266082701216, -0.3415666329261886, 0.4380475741774006]; []
DivisibleByTwo; [-0.35381318079765545, -0.5207957394344986, -0.612247793550913, 0.5906094884211166, 0.30704063314540275, 0.06311693895555037, 0.19030260006284672]; []
IsPositive; [0.13269030314733454]; [0.13269030314733454]
IsNotNaN; [-0.5014992494181196]; [-0.5014992494181196]
IsNotNaN; [NaN, 0.5238442746019922, -0.13683511339172338]; [0.5238442746019922, -0.13683511339172338]
DivisibleByTwo; [0.15662017696880493, 0.11806419110887156, -0.44153797922733906, -0.7331994879845678, 0.8041661471206727]; []
DivisibleByTwo; [0.7316301765208824, -0.07476450878120633, -0.4054001330542294]; []
IsNotNaN; [-0.4601048444656455, 0.741718403586632, NaN]; [-0.4601048444656455, 0.741718403586632]
IsNotNaN; [-0.7592460554318832]; [-0.7592460554318832]
DivisibleByTwo; [0.49315460338350126, 0.12078643090297803, 0.7416283832415509]; []
IsNotNaN; [-0.7587828027538417]; [-0.7587828027538417]
DivisibleByTwo; [0.4013424449176657]; []
IsNotNaN; [-0.301650084157731, NaN, 0.4161824812665038, 0.1806472463886064, -0.9418001571584989, -0.8125496237461496, -0.8115008514336868, -0.11411840469465484]; [-0.301650084157731, 0.4161824812665038, 0.1806472463886064, -0.9418001571584989, -0.8125496237461496, -0.8115008514336868, -0.11411840469465484]
DivisibleByTwo; [0.36952879277278594, -0.29825450884521776, 0.43234417719760265, -0.7068873785468217, 0.9720947033842908, -0.6063301580222997, 0.8412198409810556, 0.48918353022340955]; []
IsNotNaN; [0.32656776371148877]; [0.32656776371148877]
IsPositive; [-0.9152347868329063, -0.7483807172692529]; []
IsPositive; [-0.6848882912381282, 0.5447205448374406, -0.5942695357257759, -0.8815346316590884]; [0.5447205448374406]
IsNotNaN; [-0.7142621452790314, 0.13013817241582548, NaN, 0.9106946790091182]; [-0.7142621452790314, 0.13013817241582548, 0.9106946790091182]
DivisibleByTwo; [0.6958933121075339, -0.21135984956130982, 0.49166642190191623, 0.5801235418227042, -0.9762584591535122]; []
IsNotNaN; [NaN, 0.3313256097446531, 0.4539993466707457, NaN, 0.5650345845738787, 0.42446026788804736]; [0.3313256097446531, 0.4539993466707457, 0.5650345845738787, 0.42446026788804736]
IsPositive; [0.9114053975554977, 0.3758714383789845, 0.16675672505546402, 0.9137465503776385, -0.9740467745769519, -0.9751607665666475]; [0.9114053975554977, 0.3758714383789845, 0.16675672505546402, 0.9137465503776385]
DivisibleByTwo; [0.14558696227323487, -0.09729296805289556, -0.008037829224253334]; []
IsPositive; [-0.8649969635752357, -0.6238469472040973]; []
IsNotNaN; [-0.12117499312762225]; [-0.12117499312762225]
IsPositive; [0.5985921275687742, -0.627392590416719, 0.9195079954770458, -0.22635394672717557, -0.7238410569789853, 0.6439381175571475, 0.19921891301874672]; [0.5985921275687742, 0.9195079954770458, 0.6439381175571475, 0.19921891301874672]
DivisibleByTwo; [-0.8847489928711421, 0.31113113761321953]; []
IsPositive; [-0.06491367326481745, -0.15273429464026655, -0.7773763619959688, 0.7110681134731545]; [0.7110681134731545]
IsPositive; [0.2482032979761155, -0.30191874531915075]; [0.2482032979761155]
IsNotNaN; [0.1980777469873063, 0.8980290269401274, -0.5890816895667463, -0.2374183621526964, -0.4069509231290438, 0.9187452867683013, NaN, NaN]; [0.1980777469873063, 0.8980290269401274, -0.5890816895667463, -0.2374183621526964, -0.4069509231290438, 0.9187452867683013]
IsNotNaN; [NaN, 0.18211586236640454, -0.05390448652525581, -0.8757438942723557, -0.9990942088810901, 0.8693498194137412, 0.8292482995739989, -0.5688032334257658]; [0.18211586236640454, -0.05390448652525581, -0.8757438942723557, -0.9990942088810901, 0.8693498194137412, 0.8292482995739989, -0.5688032334257658]
DivisibleByTwo; [0.44190373727364185, -0.8906529918846815, -0.24716448597116703, -0.6806147733776815, -0.5921185315806758, -0.2283276659930582, 0.19014434842515504, -0.010402009591303996, -0.8413953590293313]; []
IsNotNaN; [0.30174529768695413, NaN, -0.88046815191435, 0.31717777967330596, NaN, NaN, 0.3098244757892701, -0.60925415706597, -0.39490561854950124]; [0.30174529768695413, -0.88046815191435, 0.31717777967330596, 0.3098244757892701, -0.60925415706597, -0.39490561854950124]
DivisibleByTwo; [0.9193475182934605, 0.3914133526171657, -0.243935522809128, -0.3626919561461126, 0.7719193265327415, -0.829779592236112, 0.12000965778656969, -0.39205469044080266, 0.9509969883971712]; []
IsPositive; [-0.3363317896642244, -0.29076193718034715, 0.30106033100212604, 0.7703227180536234, -0.8254537407190303, 0.9998502508951512, 0.6084993709137105]; [0.30106033100212604, 0.7703227180536234, 0.9998502508951512, 0.6084993709137105]
IsNotNaN; [0.4933080949978035]; [0.4933080949978035]
IsNotNaN; [0.6512644062122037, -0.33295063542975445, NaN, -0.21400708793150458, -0.30045622817807005, -0.38357140101564746, -0.9940707969287725, -0.7299029571852336]; [0.6512644062122037, -0.33295063542975445, -0.21400708793150458, -0.30045622817807005, -0.38357140101564746, -0.9940707969287725, -0.7299029571852336]
IsNotNaN; [NaN, 0.4526614173060508, NaN, NaN, 0.13998647182525126]; [0.4526614173060508, 0.13998647182525126]
DivisibleByTwo; [-0.45199092620927006, -0.40729899988902285, 0.06993685363911295, -0.2735580584472814]; []
IsPositive; [0.9922005704344647, 0.7241455927534353]; [0.9922005704344647, 0.7241455927534353]
DivisibleByTwo; [0.9896289162039467, 0.8027779445530874, -0.8631192159639434]; []
IsNotNaN; [0.7244600866732285, NaN, NaN, -0.8080366046410001, NaN, -0.6516205266619013]; [0.7244600866732285, -0.8080366046410001, -0.6516205266619013]
IsNotNaN; [-0.6983396670794768, -0.6121344928536525, NaN]; [-0.6983396670794768, -0.6121344928536525]
DivisibleByTwo; [0.4338822858792246, 0.0722181087313074, 0.5867415556699747, 0.48660358020145256, 0.9326235728221632]; []
IsPositive; [0.8040960727000004, -0.09252478811537257, -0.6638245111795862, 0.8735825305603402, 0.5821251007877635]; [0.8040960727000004, 0.8735825305603402, 0.5821251007877635]
IsNotNaN; [0.9233275257577405, NaN, -0.09284018835660923, 0.9818844226502008, 0.29778152486489406, -0.8105722998966334, -0.037152873371573136]; [0.9233275257577405, -0.09284018835660923, 0.9818844226502008, 0.29778152486489406, -0.8105722998966334, -0.037152873371573136]
IsPositive; [0.6335602417377719, -0.6567368132843703]; [0.6335602417377719]
DivisibleByTwo; [-0.4705367400128617, -0.5511782879406077, -0.9829235582681732, 0.919059441760657, -0.558025370668072]; []
DivisibleByTwo; [0.9927954162384343, -0.30074881935312736, -0.6711053528474089, 0.5341032584038383, -0.6261631592984298, 0.5147498378491222, -0.5647318720861763, -0.1122613696446273]; []
IsPositive; [-0.7422236553004173, 0.29611951439175166, -0.9232055017811656, 0.14715475198365646, -0.37580476068330304]; [0.29611951439175166, 0.14715475198365646]
IsNotNaN; [NaN, NaN, -0.9805319376563546, -0.6391107236911469]; [-0.9805319376563546, -0.6391107236911469]
IsPositive; [-0.8012240416933212, -0.5373848068088489, -0.01832228189111862, 0.40208880299570504, 0.5701579042657345, 0.8919778630921489, 0.6853172982930587, 0.9996077481313435]; [0.40208880299570504, 0.5701579042657345, 0.8919778630921489, 0.6853172982930587, 0.9996077481313435]
IsNotNaN; [NaN, 0.2614357891013612, NaN, 0.24148447108455606]; [0.2614357891013612, 0.24148447108455606]
DivisibleByTwo; [-0.104548164388921]; []
IsNotNaN; [-0.6708886680945949, -0.564509996220742]; [-0.6708886680945949, -0.564509996220742]
DivisibleByTwo; [-0.22943207203828164, 0.5037420093429426, -0.21233639011149918, -0.8495944733632035]; []
DivisibleByTwo; [-0.19410613499594742]; []
IsPositive; [0.016918221202630424, -0.14973983677986258, 0.035508736485506676, 0.032584891256069115, -0.5997165199670373, -0.381445158203618]; [0.016918221202630424, 0.035508736485506676, 0.032584891256069115]
DivisibleByTwo; [0.9535736516824713, -0.298598491983441]; []
DivisibleByTwo; [-0.30411877797154774, -0.7963178180819082, -0.8773271782009966, -0.6330414422257877, 0.244996053313548, 0.565415367177398, -0.6518037200446041]; []
DivisibleByTwo; [-0.9059853066998271, 0.3249094111644675, 0.3412788978041055, -0.5177329069327097, 0.6741325368321966, 0.4223835785064909, 0.5565448788487304, 0.43947096226246174]; []
IsNotNaN; [0.4203965840253503, 0.03236304568944037, -0.9623153536734044, -0.0799155498147408, NaN, 0.34889670841323217, -0.4040133906580472]; [0.4203965840253503, 0.03236304568944037, -0.9623153536734044, -0.0799155498147408, 0.34889670841323217, -0.4040133906580472]
IsNotNaN; [-0.3732483775034996, NaN]; [-0.3732483775034996]
DivisibleByTwo; [0.506302172181917, -0.3953073740853763, 0.2078240353432781, 0.25129477754918295, -0.8678932169929903, -0.5378545957321996, 0.4203455690320048, 0.7049864228253504]; []
DivisibleByTwo; [0.8893172063048034, 0.6150804456692995, -0.9220719458872542, 0.9780026357164537, 0.41408414274770244, 0.3103361612127187, 0.23353060873576315, -0.12497536510366314]; []
DivisibleByTwo; [-0.40415499465932814]; []
IsNotNaN; [NaN, -0.25558031855047103, NaN, 0.5005424933985967, 0.8433256763133432]; [-0.25558031855047103, 0.5005424933985967, 0.8433256763133432]
DivisibleByTwo; [0.8763542002586611, -0.8973544593045975, -0.5964672254619523, -0.21672410880740367, -0.07369588778388536, 0.8612493485687958]; []
DivisibleByTwo; [-0.6226870813718364, -0.786069916161704, -0.022222545007156036, 0.341601167678236]; []
DivisibleByTwo; [-0.32978769540887076]; []
DivisibleByTwo; [-0.18116881717359723, -0.14990389522623726, -0.6266994217642772]; []
DivisibleByTwo; [-0.2842909122297357, 0.32373037958048956, 0.06272623528487697, 0.2292598249090949, 0.02804716423525133, -0.808291592887755, 0.208035317286271]; []
IsPositive; [0.8975204995771193, -0.5316532069101225, -0.318031265070037, 0.5106120539809664, -0.4552243548885113, 0.40641503235616416, 0.9503429889937554, 0.5485533068272801, -0.3798546955113602]; [0.8975204995771193, 0.5106120539809664, 0.40641503235616416, 0.9503429889937554, 0.5485533068272801]
DivisibleByTwo; [0.15698009408466218, 0.4886879285176686, 0.12188518880765464, -0.9268573588475006, 0.7350881065198203, -0.868004699397273, -0.9244464345614647]; []
IsPositive; [-0.5023398924480624, -0.5460836163944132, -0.8938237106241493, 0.5191825815536009, -0.33580554912619154, 0.17927375741957952, 0.1461217043563552]; [0.5191825815536009, 0.17927375741957952, 0.1461217043563552]
DivisibleByTwo; [-0.6669323563328318, 0.8654203269509386, -0.8414267953300991, 0.5827812384646525, -0.8903671985545911]; []
IsNotNaN; [0.7756133656211943, NaN, NaN, NaN, 0.1123134715536036]; [0.7756133656211943, 0.1123134715536036]
DivisibleByTwo; [0.17073908804619453, 0.3931528539351157, 0.8348809258051757, 0.28901027832156356, 0.6979545170312247, -0.8618107872132486]; []
IsPositive; [0.5344727505722773, 0.46052318234978373, 0.5621012245836665, -0.9410188122718555, 0.4353955726792411, 0.8881386249186405, -0.6272989456453646, -0.2626673251107663]; [0.5344727505722773, 0.46052318234978373, 0.5621012245836665, 0.4353955726792411, 0.8881386249186405]
DivisibleByTwo; [0.8554863829770507, 0.3894586057815894, -0.6523982791753034, 0.8142889227923653, -0.5443794042008958, 0.7883045361616656, 0.1815668028742119]; []
DivisibleByTwo; [-0.3420441486780006, -0.14679690091658393, 0.7429110514650061, -0.9418139285632845, -0.02065775084573107, 0.7165340192906908, -0.8939641883777718]; []
IsPositive; [-0.7829678456853655, 0.17973300694666583, -0.6103286934099021, 0.058500758519434815, 0.7165053436827242, -0.7927574833009534, -0.517823083791962, 0.6580721564510028]; [0.17973300694666583, 0.058500758519434815, 0.7165053436827242, 0.6580721564510028]
IsPositive; [0.07382413283022293, 0.0068376711871331874, -0.9446001563189366, 0.1584763041491799, -0.682865052492764]; [0.07382413283022293, 0.0068376711871331874, 0.1584763041491799]
IsPositive; [0.26726081273860247, -0.9532858920469984, -0.5212607519539689, -0.3492707080509787, -0.9000772206649938, 0.395395947040458]; [0.26726081273860247, 0.395395947040458]
IsPositive; [0.540928927350597, 0.41287293186962937, 0.5289786331727677, 0.968589940000016, 0.8447690284408362]; [0.540928927350597, 0.41287293186962937, 0.5289786331727677, 0.968589940000016, 0.8447690284408362]
IsNotNaN; [0.29676740225800424, NaN, -0.1669206693703782]; [0.29676740225800424, -0.1669206693703782]
IsNotNaN; [NaN, 0.9086791758844015, 0.8112960949656214, 0.6783412941095768, 0.09662880448516953]; [0.9086791758844015, 0.8112960949656214, 0.6783412941095768, 0.09662880448516953]
IsNotNaN; [0.6532876597420492, NaN, NaN, -0.7124648097909285, NaN, 0.7603714696905495, -0.31337014434690547, NaN]; [0.6532876597420492, -0.7124648097909285, 0.7603714696905495, -0.31337014434690547]
DivisibleByTwo; [0.04355040383744169, 0.882284481666441, -0.1716359843315265, 0.03507455709334795, 0.010775328112078597, 0.42055332195317874, 0.11905724164542808, -0.74557904295938, -0.23864334374215002]; []
DivisibleByTwo; [-0.17268883242560973, 0.7416059400733057, -0.15780355006657398, 0.7714840989375744, -0.8376312506762484, -0.19567548363057452, -0.015699933659319987, -0.8897119922824686]; []
IsPositive; [0.4191452034159251, -0.1782239263280967, -0.7966776014132808, 0.9074691946756612, -0.368370441068959, 0.6422988508225911, -0.9088775808650749, 0.5451192977201633]; [0.4191452034159251, 0.9074691946756612, 0.6422988508225911, 0.5451192977201633]
IsPositive; [0.9521313652706525, 0.5280995294515693, 0.6322186668300567, -0.6295743119197765]; [0.9521313652706525, 0.5280995294515693, 0.6322186668300567]
IsPositive; [0.8837190279831872, -0.5214497911241225, -0.3338482190548877]; [0.8837190279831872]
DivisibleByTwo; [0.7669667784508327, 0.15788557417308158, -0.9154069106697225, -0.2501341356254334, 0.27582183837280505, -0.6328778884523234, -0.7880801223984331, -0.29345357877539247, -0.8762660155778423]; []
DivisibleByTwo; [0.3937196846190347, -0.3671389480257852, -0.5147564058531702, -0.005920030411823873, 0.9202609848966217]; []
IsNotNaN; [0.3616841567939122, NaN, NaN]; [0.3616841567939122]
DivisibleByTwo; [-0.1360962165697941, -0.10473320257204222]; []
IsPositive; [0.42809286219542697, -0.7381013604611029, -0.5543009033260511, -0.1791251089709478, 0.7543909979593568, -0.28016100550462397, 0.7878273014124537, -0.6749568138594375]; [0.42809286219542697, 0.7543909979593568, 0.7878273014124537]
DivisibleByTwo; [0.8727180313582641, -0.08472043842849075, 0.4257756350918154, 0.02231996557277882, -0.9644968500013418]; []
IsNotNaN; [0.2983538462590001, 0.9291225126704941]; [0.2983538462590001, 0.9291225126704941]
IsPositive; [0.21990378493318108, 0.5918919252183146]; [0.21990378493318108, 0.5918919252183146]
DivisibleByTwo; [0.34582027514481495, -0.056266908325459664, 0.2439659412209858, -0.48811968903188707, 0.25311939211342005, 0.3998121561482524, 0.7757174563462013, 0.8799254611518093, 0.2818366383504849]; []
IsPositive; [0.37440085293749625, 0.2800454278407374, -0.9141228909573529, -0.5325353662271883, 0.15354408370528771, -0.44319084672229203, -0.09603483432322935]; [0.37440085293749625, 0.2800454278407374, 0.15354408370528771]
IsPositive; [-0.004123429459868877, 0.4084965359437658, -0.7953483153788279, 0.4259683665221137, 0.9729363948338552, -0.9180246601491995, -0.6405510065847346, 0.9025804426442463, -0.4598120888149728]; [0.4084965359437658, 0.4259683665221137, 0.9729363948338552, 0.9025804426442463]
DivisibleByTwo; [-0.42539165914728105, 0.4542829424940502, 0.9473803013170428, 0.33058024782218265, -0.8716319738973253, 0.9450923212623719]; []
DivisibleByTwo; [-0.7292962760372852, 0.11170297052202294, -0.07707966988158943, 0.955918921831999, -0.8638951550471565, -0.8699807254158543, 0.33245993623835024]; []
IsPositive; [-0.3800663779768745, -0.9300147011077844, 0.14810211657119732, 0.03474338591131243, 0.5271922047970374, 0.005360903412221729, 0.4578930083347401, 0.22067152564343528, 0.13733566894310623]; [0.14810211657119732, 0.03474338591131243, 0.5271922047970374, 0.005360903412221729, 0.4578930083347401, 0.22067152564343528, 0.13733566894310623]
IsPositive; [0.003625847290549933, -0.7434809514153997, -0.9780854846194997]; [0.003625847290549933]
IsPositive; [0.27521662252305257, -0.026436079006605162]; [0.27521662252305257]
DivisibleByTwo; [0.6872196581811645, 0.4557127225654958, -0.10030214384521563, 0.3947492030049984, -0.42355000279649957]; []
DivisibleByTwo; [0.6801266443821989, -0.7793643705708111, -0.047133097048385864, 0.4392432044736245, 0.15965169582189298, 0.9363252029335833]; []
DivisibleByTwo; [0.2073772254024917]; []
DivisibleByTwo; [0.678429873912517, 0.46025161399529346, 0.87345263113273]; []
DivisibleByTwo; [-0.06266471471830126, 0.06932865951795764]; []
DivisibleByTwo; [-0.17549232884120247, -0.3661391957788245, 0.6490701844001945, 0.6000369991204468, 0.421718892978737, -0.012793836247370072]; []
DivisibleByTwo; [0.8798181666591591, -0.47153257527160264]; []
IsPositive; [0.22443108800198197, -0.3041556392884459, -0.6057057759349507, 0.12078986358983701, -0.16798762223524566]; [0.22443108800198197, 0.12078986358983701]
DivisibleByTwo; [0.21805256162452458, 0.14657791836858713, 0.951955964249247, -0.7564672135348309, 0.3079590716181315, 0.9675792356384334, -0.12250204512353302, -0.4236520727467743]; []
IsPositive; [-0.0846823149849667, -0.6612584037922804, 0.8268090853738481, 0.033425352443764655, -0.014470312669810248, 0.3255290477811883]; [0.8268090853738481, 0.033425352443764655, 0.3255290477811883]
IsNotNaN; [0.4216288965067361, -0.9584058916907228, -0.22991835874279087, -0.23036414272853079, -0.9105280154372319, 0.41453874279342684, -0.9201662184404884, 0.17674689236614216]; [0.4216288965067361, -0.9584058916907228, -0.22991835874279087, -0.23036414272853079, -0.9105280154372319, 0.41453874279342684, -0.9201662184404884, 0.17674689236614216]
IsPositive; [-0.17974501046344016]; []
DivisibleByTwo; [0.6384983074911423, 0.5483576685635918, -0.6129317457386323, -0.9946083509649772]; []
IsPositive; [-0.06472687529379484, 0.41978935310989973, -0.9212619910901003, -0.09785878949531779, -0.3737184657234933, -0.36457143540424064]; [0.41978935310989973]
IsPositive; [-0.5703827788276803, 0.18201208565863447, -0.4969494702569417, 0.06558050394603376]; [0.18201208565863447, 0.06558050394603376]
DivisibleByTwo; [-0.1491472218953036]; []
DivisibleByTwo; [0.7505372934880052, -0.5963367482494584, -0.38209732158698007, -0.39400654091065834, -0.43324583917055737, -0.9986709834052918, 0.650784348397853, 0.3423319048153841]; []
IsNotNaN; [-0.4557634089782254, 0.9303799921575064, 0.6300522071292081, -0.9134649491526539]; [-0.4557634089782254, 0.9303799921575064, 0.6300522071292081, -0.9134649491526539]
IsPositive; [-0.21845638590636574]; []
IsNotNaN; [0.8066410771400854, NaN]; [0.8066410771400854]
IsNotNaN; [-0.9054829142941723, 0.3484637306446188, NaN, 0.6909961288246145, NaN, NaN, -0.38028131652669694, 0.5254715656336637, NaN]; [-0.9054829142941723, 0.3484637306446188, 0.6909961288246145, -0.38028131652669694, 0.5254715656336637]
IsPositive; [-0.042845835837374446]; []
IsPositive; [0.1309113130416346, 0.7592905577454938, -0.6039889801892222, 0.2369952064498151]; [0.1309113130416346, 0.7592905577454938, 0.2369952064498151]
IsNotNaN; [-0.4752319037235955, -0.7015204590262962, 0.05179502365341171, -0.6118122096947696]; [-0.4752319037235955, -0.7015204590262962, 0.05179502365341171, -0.6118122096947696]
DivisibleByTwo; [0.9311028387507982, -0.2685113701792363, -0.5516622545847811, 0.3477050650392097, -0.3090435999248542, -0.5932900242847081, 0.5595303829950393, -0.8668612505106972]; []
IsNotNaN; [-0.8851279572189072, NaN, -0.45545853417018645, -0.32155133855058393, 0.6301726324353203, -0.5604830136780443, -0.8581666519568754, 0.7631051657884467]; [-0.8851279572189072, -0.45545853417018645, -0.32155133855058393, 0.6301726324353203, -0.5604830136780443, -0.8581666519568754, 0.7631051657884467]
IsPositive; [0.8214508603683961, -0.4245591876732244]; [0.8214508603683961]
DivisibleByTwo; [-0.30541817512049474, 0.6301456952214943, -0.5748746018689213, 0.6584291685082646, 0.763858418489467, -0.007820480786407513, -0.7919456021034983]; []
IsPositive; [0.16415193672518935, 0.5613262345490482, 0.0403933606149931]; [0.16415193672518935, 0.5613262345490482, 0.0403933606149931]
DivisibleByTwo; [0.8418406251042971, -0.1974664481452888]; []
IsNotNaN; [-0.9789102598008081, 0.8001238257332486, NaN, -0.679411352158815, NaN, 0.7175795345117908, -0.25937955572439075, NaN, -0.8455433630725462]; [-0.9789102598008081, 0.8001238257332486, -0.679411352158815, 0.7175795345117908, -0.25937955572439075, -0.8455433630725462]
DivisibleByTwo; [0.7158112171103206, 0.75542940588054, -0.4919961926141745, -0.8933406035487799, -0.8759567178217866, 0.699527013938934, 0.8263296055747185, 0.2721145381899057, -0.13700358584734773]; []
IsPositive; [0.05806055601254201, -0.3701286628596534, -0.28061181098179255, -0.9401538383154862, -0.7355469692406666, 0.7938284333310162, -0.18304689322593548, 0.8699781010645098]; [0.05806055601254201, 0.7938284333310162, 0.8699781010645098]
DivisibleByTwo; [0.5530926620333196, -0.020015999130159612, 0.7368833123692404]; []
IsNotNaN; [NaN, -0.26015819066712664, 0.5689705309493678, -0.18110516285692135, -0.7552846780328639, -0.2607343819436103, 0.9490215444998968, NaN]; [-0.26015819066712664, 0.5689705309493678, -0.18110516285692135, -0.7552846780328639, -0.2607343819436103, 0.9490215444998968]
DivisibleByTwo; [0.8277270645269073, 0.9341190746596799, -0.9258888402483376, 0.9710457643062589, 0.3169601771186923, 0.13177289654459345, -0.7858496436379168, -0.35409563628171226, 0.6422756303844757]; []
DivisibleByTwo; [-0.22610069521462206, -0.357825968202796, -0.9312385200979336, -0.6510298233019012]; []
IsNotNaN; [0.30987858704840643, -0.3617816202355648, -0.21689550121932344, -0.05208099165299318, -0.7989709787181576, -0.3631457962664857, 0.8506905272015943, -0.08363820047381032]; [0.30987858704840643, -0.3617816202355648, -0.21689550121932344, -0.05208099165299318, -0.7989709787181576, -0.3631457962664857, 0.8506905272015943, -0.08363820047381032]
